"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 01일","106.62","107.00","107.54","105.83","730.74K","-2.78%"
"2020년 04월 30일","109.67","108.75","111.14","108.32","693.84K","-1.73%"
"2020년 04월 29일","111.60","112.75","113.23","111.22","826.98K","0.35%"
"2020년 04월 28일","111.21","113.53","114.42","110.65","1.01M","-0.38%"
"2020년 04월 27일","111.63","107.11","111.89","107.00","922.62K","5.68%"
"2020년 04월 24일","105.63","104.77","105.75","102.97","843.64K","1.71%"
"2020년 04월 23일","103.85","106.97","106.97","102.82","905.07K","-0.75%"
"2020년 04월 22일","104.63","108.50","108.50","102.80","1.36M","-0.61%"
"2020년 04월 21일","105.27","107.72","108.86","104.76","968.38K","-4.11%"
"2020년 04월 20일","109.78","109.77","110.88","108.76","922.81K","-1.31%"
"2020년 04월 17일","111.24","111.10","111.91","109.38","773.81K","2.71%"
"2020년 04월 16일","108.31","106.89","108.93","106.50","722.80K","2.18%"
"2020년 04월 15일","106.00","106.11","108.11","104.61","829.91K","-1.45%"
"2020년 04월 14일","107.56","105.65","107.88","104.27","1.38M","4.13%"
"2020년 04월 13일","103.29","105.29","106.99","102.67","805.70K","-4.29%"
"2020년 04월 09일","107.92","104.78","108.59","104.78","740.60K","3.64%"
"2020년 04월 08일","104.13","101.53","104.81","101.23","744.87K","3.16%"
"2020년 04월 07일","100.94","104.72","107.11","100.22","1.13M","-0.64%"
"2020년 04월 06일","101.59","99.89","102.27","98.07","916.79K","6.69%"
"2020년 04월 03일","95.22","94.53","95.92","93.57","851.95K","1.34%"
"2020년 04월 02일","93.96","92.05","94.45","90.33","1.24M","1.83%"
"2020년 04월 01일","92.27","90.12","93.29","90.00","1.06M","-2.82%"
"2020년 03월 31일","94.95","99.52","100.40","94.57","1.52M","-4.52%"
"2020년 03월 30일","99.44","94.03","99.83","92.81","1.44M","7.18%"
"2020년 03월 27일","92.78","89.56","95.25","89.53","1.13M","-1.11%"
"2020년 03월 26일","93.82","89.19","95.98","89.19","1.70M","7.89%"
"2020년 03월 25일","86.96","84.17","91.01","82.28","1.97M","4.78%"
"2020년 03월 24일","82.99","76.91","83.10","76.43","1.98M","13.90%"
"2020년 03월 23일","72.86","80.57","80.57","71.66","1.79M","-9.49%"
"2020년 03월 20일","80.50","89.82","89.82","79.67","2.16M","-8.52%"
"2020년 03월 19일","88.00","92.31","92.54","85.61","1.75M","-3.90%"
"2020년 03월 18일","91.57","90.37","95.48","89.21","2.27M","-3.64%"
"2020년 03월 17일","95.03","87.47","95.88","87.00","2.23M","11.39%"
"2020년 03월 16일","85.31","87.00","92.78","83.35","1.42M","-11.18%"
"2020년 03월 13일","96.05","93.15","96.37","85.72","1.68M","8.37%"
"2020년 03월 12일","88.63","91.43","93.32","88.30","1.77M","-10.76%"
"2020년 03월 11일","99.32","101.86","101.96","97.79","1.83M","-5.14%"
"2020년 03월 10일","104.70","108.32","108.79","102.19","1.99M","-0.96%"
"2020년 03월 09일","105.72","102.72","108.42","102.46","1.43M","-4.33%"
"2020년 03월 06일","110.50","110.87","112.29","107.67","1.26M","-3.16%"
"2020년 03월 05일","114.10","112.57","114.59","111.59","1.65M","-1.95%"
"2020년 03월 04일","116.37","112.17","116.55","110.50","1.21M","5.72%"
"2020년 03월 03일","110.07","110.74","114.07","109.13","1.32M","-0.05%"
"2020년 03월 02일","110.12","103.00","110.35","103.00","1.26M","7.38%"
"2020년 02월 28일","102.55","105.23","105.45","100.47","2.28M","-4.56%"
"2020년 02월 27일","107.45","112.00","112.50","107.32","1.34M","-4.93%"
"2020년 02월 26일","113.02","112.47","114.66","112.47","948.14K","0.54%"
"2020년 02월 25일","112.41","114.91","115.32","111.85","963.58K","-2.03%"
"2020년 02월 24일","114.74","112.84","115.42","112.39","1.22M","-0.38%"
"2020년 02월 21일","115.18","114.24","115.45","113.99","2.53M","0.60%"
"2020년 02월 20일","114.49","115.55","115.80","113.32","692.28K","-0.68%"
"2020년 02월 19일","115.27","115.97","117.33","115.20","726.41K","-0.35%"
"2020년 02월 18일","115.67","113.50","116.16","113.13","1.09M","-0.46%"
"2020년 02월 14일","116.20","114.64","116.25","114.64","530.38K","1.57%"
"2020년 02월 13일","114.40","114.17","114.90","113.95","409.85K","0.30%"
"2020년 02월 12일","114.06","114.90","115.06","112.94","582.61K","-0.64%"
"2020년 02월 11일","114.80","115.72","116.68","114.68","462.96K","-0.80%"
"2020년 02월 10일","115.73","114.12","115.85","114.01","941.26K","1.22%"
"2020년 02월 07일","114.33","115.97","116.30","114.24","959.45K","-1.31%"
"2020년 02월 06일","115.85","117.21","117.23","115.53","910.59K","-0.53%"
"2020년 02월 05일","116.47","119.24","119.25","115.90","1.02M","-1.85%"
"2020년 02월 04일","118.67","118.94","120.23","118.46","867.01K","0.75%"
"2020년 02월 03일","117.79","117.28","118.89","117.03","719.20K","1.14%"
