"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 02월 23일","1,804.80","1,809.40","1,813.00","1,795.00","1.02K","-0.13%"
"2021년 02월 22일","1,807.20","1,785.00","1,809.90","1,779.50","1.73K","1.74%"
"2021년 02월 19일","1,776.30","1,772.70","1,789.00","1,759.40","1.79K","0.13%"
"2021년 02월 18일","1,774.00","1,776.20","1,787.60","1,765.90","0.62K","0.12%"
"2021년 02월 17일","1,771.80","1,789.20","1,792.60","1,767.70","1.02K","-1.45%"
"2021년 02월 16일","1,797.90","1,825.00","1,825.20","1,787.60","1.54K","-1.15%"
"2021년 02월 15일","1,818.75","1,820.90","1,827.00","1,815.60","-","-0.13%"
"2021년 02월 14일","1,821.05","1,822.45","1,826.30","1,820.15","-","-0.05%"
"2021년 02월 12일","1,822.00","1,824.50","1,830.00","1,810.00","1.60K","-0.20%"
"2021년 02월 11일","1,825.60","1,821.10","1,846.00","1,820.90","0.92K","-0.87%"
"2021년 02월 10일","1,841.60","1,838.50","1,855.00","1,832.70","1.38K","0.29%"
"2021년 02월 09일","1,836.20","1,831.10","1,848.10","1,829.60","0.79K","0.17%"
"2021년 02월 08일","1,833.00","1,816.60","1,838.70","1,806.60","1.22K","1.16%"
"2021년 02월 05일","1,811.90","1,793.70","1,814.30","1,791.50","1.38K","1.21%"
"2021년 02월 04일","1,790.30","1,833.50","1,834.00","1,783.60","1.99K","-2.37%"
"2021년 02월 03일","1,833.80","1,837.60","1,844.50","1,829.40","0.81K","0.08%"
"2021년 02월 02일","1,832.40","1,861.70","1,863.60","1,829.20","1.66K","-1.60%"
"2021년 02월 01일","1,862.20","1,863.60","1,874.00","1,850.50","2.03K","0.71%"
