"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 30일","1,767.70","1,772.40","1,773.30","1,763.30","167.29K","-0.03%"
"2021년 04월 29일","1,768.30","1,781.90","1,789.90","1,754.60","231.52K","-0.29%"
"2021년 04월 28일","1,773.50","1,775.50","1,780.00","1,762.50","0.76K","-0.26%"
"2021년 04월 27일","1,778.20","1,780.30","1,784.30","1,773.90","0.27K","-0.07%"
"2021년 04월 26일","1,779.40","1,775.00","1,782.50","1,768.20","0.75K","0.12%"
"2021년 04월 23일","1,777.30","1,784.00","1,795.20","1,771.50","0.37K","-0.24%"
"2021년 04월 22일","1,781.50","1,794.50","1,797.20","1,776.80","0.29K","-0.62%"
"2021년 04월 21일","1,792.70","1,777.40","1,797.70","1,776.00","0.74K","0.85%"
"2021년 04월 20일","1,777.60","1,769.50","1,779.20","1,763.00","1.09K","0.45%"
"2021년 04월 19일","1,769.70","1,777.20","1,789.40","1,766.20","0.70K","-0.54%"
"2021년 04월 16일","1,779.30","1,764.20","1,783.50","1,759.70","0.45K","0.76%"
"2021년 04월 15일","1,765.80","1,735.30","1,768.60","1,733.70","0.58K","1.76%"
"2021년 04월 14일","1,735.30","1,745.00","1,749.00","1,731.60","0.63K","-0.64%"
"2021년 04월 13일","1,746.50","1,732.00","1,748.40","1,722.50","0.60K","0.86%"
"2021년 04월 12일","1,731.60","1,742.40","1,743.20","1,726.10","0.33K","-0.70%"
"2021년 04월 09일","1,743.80","1,755.30","1,757.10","1,731.00","0.64K","-0.76%"
"2021년 04월 08일","1,757.10","1,737.50","1,758.30","1,733.60","0.69K","0.95%"
"2021년 04월 07일","1,740.50","1,743.00","1,743.00","1,730.50","0.36K","-0.09%"
"2021년 04월 06일","1,742.00","1,727.30","1,745.00","1,727.30","0.79K","0.83%"
"2021년 04월 05일","1,727.70","1,726.60","1,733.20","1,720.90","0.43K","0.02%"
"2021년 04월 01일","1,727.30","1,707.90","1,730.40","1,705.70","1.32K","0.75%"
"2021년 03월 31일","1,714.40","1,684.10","1,714.90","1,676.80","1.16K","1.74%"
"2021년 03월 30일","1,685.10","1,711.90","1,712.80","1,677.80","1.90K","-1.58%"
"2021년 03월 29일","1,712.20","1,731.50","1,732.60","1,703.30","135.46K","-1.16%"
"2021년 03월 26일","1,732.30","1,725.50","1,735.50","1,718.80","172.94K","0.42%"
"2021년 03월 25일","1,725.10","1,733.20","1,744.80","1,720.30","226.21K","-0.47%"
"2021년 03월 24일","1,733.20","1,725.90","1,737.70","1,722.30","186.52K","0.47%"
"2021년 03월 23일","1,725.10","1,738.50","1,742.00","1,722.70","226.20K","-0.75%"
"2021년 03월 22일","1,738.10","1,745.60","1,747.00","1,726.40","196.31K","-0.21%"
"2021년 03월 19일","1,741.70","1,733.70","1,746.10","1,727.10","213.28K","0.53%"
"2021년 03월 18일","1,732.50","1,744.00","1,754.20","1,716.60","251.76K","0.31%"
"2021년 03월 17일","1,727.10","1,730.00","1,750.60","1,722.00","220.55K","-0.22%"
"2021년 03월 16일","1,730.90","1,730.70","1,740.50","1,724.40","173.89K","0.10%"
"2021년 03월 15일","1,729.20","1,726.50","1,733.20","1,719.20","163.05K","0.55%"
"2021년 03월 12일","1,719.80","1,720.50","1,728.00","1,696.60","232.21K","-0.16%"
"2021년 03월 11일","1,722.60","1,725.00","1,738.00","1,716.80","215.34K","0.05%"
"2021년 03월 10일","1,721.80","1,714.50","1,725.30","1,705.60","226.89K","0.29%"
"2021년 03월 09일","1,716.90","1,679.30","1,718.70","1,676.70","248.95K","2.32%"
"2021년 03월 08일","1,678.00","1,701.60","1,712.00","1,673.30","273.91K","-1.21%"
"2021년 03월 05일","1,698.50","1,695.30","1,705.70","1,683.00","269.33K","-0.13%"
"2021년 03월 04일","1,700.70","1,708.40","1,721.60","1,687.60","277.45K","-0.88%"
"2021년 03월 03일","1,715.80","1,736.50","1,739.10","1,699.40","255.65K","-1.03%"
"2021년 03월 02일","1,733.60","1,722.80","1,737.80","1,704.60","235.96K","0.62%"
"2021년 03월 01일","1,723.00","1,732.80","1,757.40","1,717.20","241.92K","-0.34%"
"2021년 02월 26일","1,728.80","1,770.90","1,773.80","1,714.90","362.55K","-2.62%"
"2021년 02월 25일","1,775.40","1,804.90","1,805.00","1,763.90","316.25K","-1.18%"
"2021년 02월 24일","1,796.60","1,805.00","1,810.70","1,782.00","1.50K","-0.45%"
