"조회날짜","코드1","종목 코드","종목 명칭","종가","전일대비 등락","전일대비 등락률","시가","고가","저가","체결수량의 누적합","체결가격 * 체결수량 누적합","종가*상장좌수"
20210531,005930,KR7005930003,삼성전자,80500,400,.5,80300,80600,79600,13321324,1065281026200,480567495275000
20210528,005930,KR7005930003,삼성전자,80100,500,.63,79800,80400,79400,12360199,988665902752,478179582255000
20210527,005930,KR7005930003,삼성전자,79600,-200,-.25,80000,80000,79100,23198510,1845463410840,475194690980000
20210526,005930,KR7005930003,삼성전자,79800,-100,-.13,80400,80500,79700,11984359,959016261770,476388647490000
20210525,005930,KR7005930003,삼성전자,79900,200,.25,80000,80400,79800,13628942,1091584785700,476985625745000
20210524,005930,KR7005930003,삼성전자,79700,-400,-.5,80100,80400,79500,13398666,1069031356223,475791669235000
20210521,005930,KR7005930003,삼성전자,80100,600,.75,80100,81500,79800,20961714,1687345199300,478179582255000
20210520,005930,KR7005930003,삼성전자,79500,-100,-.13,79400,79700,79100,16541828,1314426651400,474597712725000
20210518,005930,KR7005930003,삼성전자,79600,0,0,79600,80000,79100,17494407,1393769049380,475194690980000
20210517,005930,KR7005930003,삼성전자,79600,-500,-.62,80800,80900,79200,17740855,1414228804206,475194690980000
20210514,005930,KR7005930003,삼성전자,80100,1600,2.04,79000,80300,78900,16450920,1313024424300,478179582255000
20210513,005930,KR7005930003,삼성전자,78500,-1500,-1.88,78900,79600,78400,31490096,2482903301914,468627930175000
20210512,005930,KR7005930003,삼성전자,80000,-1200,-1.48,80800,81200,79800,35812268,2876601949600,477582604000000
20210511,005930,KR7005930003,삼성전자,81200,-2000,-2.4,82500,82600,81100,28996680,2365998053700,484746343060000
20210510,005930,KR7005930003,삼성전자,83200,1300,1.59,82300,83500,81800,19385027,1603729206300,496685908160000
20210507,005930,KR7005930003,삼성전자,81900,-400,-.49,81800,82100,81500,14154882,1158685043300,488925190845000
20210506,005930,KR7005930003,삼성전자,82300,-300,-.36,81700,82300,81700,17047511,1397109294200,491313103865000
20210504,005930,KR7005930003,삼성전자,82600,900,1.1,81900,82600,81800,12532550,1030147174860,493104038630000
20210503,005930,KR7005930003,삼성전자,81700,200,.25,81000,82400,81000,15710336,1284767138340,487731234335000
20210430,005930,KR7005930003,삼성전자,81500,-200,-.24,81900,82100,81500,18673197,1525090284512,486537277825000
20210429,005930,KR7005930003,삼성전자,81700,-400,-.49,82400,82500,81500,20000973,1638811445660,487731234335000
20210428,005930,KR7005930003,삼성전자,82100,-800,-.97,83200,83200,82100,15596759,1284554388615,490119147355000
20210427,005930,KR7005930003,삼성전자,82900,-600,-.72,83200,83300,82500,12941533,1071381962500,494894973395000
20210426,005930,KR7005930003,삼성전자,83500,700,.85,82900,83500,82600,15489938,1286360030996,498476842925000
20210423,005930,KR7005930003,삼성전자,82800,400,.49,81900,82900,81600,17805080,1464208204100,494297995140000
20210422,005930,KR7005930003,삼성전자,82400,-200,-.24,82900,83000,82400,13934746,1151303986200,491910082120000
20210421,005930,KR7005930003,삼성전자,82600,-1300,-1.55,83300,83500,82500,21636079,1792608597200,493104038630000
20210420,005930,KR7005930003,삼성전자,83900,600,.72,83300,84000,83100,15521965,1298185983040,500864755945000
