"조회날짜","코드1","종목 코드","종목 명칭","종가","전일대비 등락","전일대비 등락률","시가","고가","저가","체결수량의 누적합","체결가격 * 체결수량 누적합","종가*상장좌수"
20210419,005930,KR7005930003,삼성전자,83300,-600,-.72,83800,84000,83300,15287311,1277281507900,497282886415000
20210416,005930,KR7005930003,삼성전자,83900,-200,-.24,84700,84700,83600,15429522,1294516674200,500864755945000
20210415,005930,KR7005930003,삼성전자,84100,100,.12,83700,84500,83400,16377412,1375438313400,502058712455000
20210414,005930,KR7005930003,삼성전자,84000,0,0,84000,84300,83400,13794652,1156326758700,501461734200000
20210413,005930,KR7005930003,삼성전자,84000,800,.96,83000,84500,82800,15238206,1276903128038,501461734200000
20210412,005930,KR7005930003,삼성전자,83200,-400,-.48,84100,84100,83100,12915282,1078274477112,496685908160000
20210409,005930,KR7005930003,삼성전자,83600,-1100,-1.3,84700,84900,83400,18193707,1527078831700,499073821180000
20210408,005930,KR7005930003,삼성전자,84700,-900,-1.05,85700,85700,84100,19244259,1629938227200,505640581985000
20210407,005930,KR7005930003,삼성전자,85600,-400,-.47,86100,86200,85400,17885538,1532760739551,511013386280000
20210406,005930,KR7005930003,삼성전자,86000,600,.7,86200,86200,85100,19042023,1633460653000,513401299300000
20210405,005930,KR7005930003,삼성전자,85400,600,.71,85800,86000,84800,16255990,1385160353200,509819429770000
20210402,005930,KR7005930003,삼성전자,84800,1900,2.29,84000,85200,83900,22997538,1947586897500,506237560240000
20210401,005930,KR7005930003,삼성전자,82900,1500,1.84,82500,83000,82000,18676461,1542484638200,494894973395000
20210331,005930,KR7005930003,삼성전자,81400,-800,-.97,82400,82700,81400,17240518,1413779202400,485940299570000
20210330,005930,KR7005930003,삼성전자,82200,600,.74,81600,82300,81300,13121698,1074968693016,490716125610000
20210329,005930,KR7005930003,삼성전자,81600,100,.12,81700,81700,81000,14952134,1216567675700,487134256080000
20210326,005930,KR7005930003,삼성전자,81500,300,.37,81400,81600,81000,12845778,1044261903000,486537277825000
20210325,005930,KR7005930003,삼성전자,81200,200,.25,81000,82100,80800,14758826,1200699288823,484746343060000
20210324,005930,KR7005930003,삼성전자,81000,-800,-.98,81000,81600,80700,17926638,1454204203800,483552386550000
20210323,005930,KR7005930003,삼성전자,81800,-200,-.24,82600,82900,81800,13299907,1092867144552,488328212590000
20210322,005930,KR7005930003,삼성전자,82000,100,.12,82000,82300,81700,12670506,1039543136201,489522169100000
20210319,005930,KR7005930003,삼성전자,81900,-1000,-1.21,82100,82500,81800,15869700,1301953467700,488925190845000
20210318,005930,KR7005930003,삼성전자,82900,600,.73,82800,83800,82600,18585244,1545980791426,494894973395000
20210317,005930,KR7005930003,삼성전자,82300,-500,-.6,82800,82900,82000,11625146,957444384952,491313103865000
20210316,005930,KR7005930003,삼성전자,82800,1000,1.22,82200,83000,82100,12293537,1014280956368,494297995140000
20210315,005930,KR7005930003,삼성전자,81800,-1000,-1.21,82800,82900,81800,13735798,1128533403400,488328212590000
20210312,005930,KR7005930003,삼성전자,82800,800,.98,83100,83500,82400,13530573,1121128514600,494297995140000
20210311,005930,KR7005930003,삼성전자,82000,1100,1.36,81000,82500,81000,23818297,1952164587512,489522169100000
20210310,005930,KR7005930003,삼성전자,80900,-500,-.61,82400,82500,80700,20038422,1632812662321,482955408295000
20210309,005930,KR7005930003,삼성전자,81400,-600,-.73,81400,81900,80600,25420764,2066544317650,485940299570000
20210308,005930,KR7005930003,삼성전자,82000,-100,-.12,82900,83000,81600,17641256,1448480913600,489522169100000
20210305,005930,KR7005930003,삼성전자,82100,-300,-.36,81100,82600,81100,20508971,1677602868700,490119147355000
20210304,005930,KR7005930003,삼성전자,82400,-1600,-1.9,82600,83200,82200,24348331,2010257798200,491910082120000
20210303,005930,KR7005930003,삼성전자,84000,400,.48,83500,84000,82800,19882132,1659122458768,501461734200000
20210302,005930,KR7005930003,삼성전자,83600,1100,1.33,85100,85300,83000,33498180,2823604648915,499073821180000
20210226,005930,KR7005930003,삼성전자,82500,-2800,-3.28,82800,83400,82000,38520800,3175845143233,492507060375000
20210225,005930,KR7005930003,삼성전자,85300,3300,4.02,84000,85400,83000,34155986,2880259491180,509222451515000
20210224,005930,KR7005930003,삼성전자,82000,0,0,81800,83600,81300,26807651,2208585141393,489522169100000
20210223,005930,KR7005930003,삼성전자,82000,-200,-.24,81200,82900,81100,20587314,1683933027000,489522169100000
20210222,005930,KR7005930003,삼성전자,82200,-400,-.48,83800,84200,82200,25419886,2113624966100,490716125610000
20210219,005930,KR7005930003,삼성전자,82600,500,.61,82300,82800,81000,25880879,2121275310450,493104038630000
20210218,005930,KR7005930003,삼성전자,82100,-1100,-1.32,83200,83600,82100,21327683,1762033944231,490119147355000
20210217,005930,KR7005930003,삼성전자,83200,-1700,-2,83900,84200,83000,18307735,1526409421172,496685908160000
20210216,005930,KR7005930003,삼성전자,84900,700,.83,84500,86000,84200,20483100,1740792201903,506834538495000
20210215,005930,KR7005930003,삼성전자,84200,2600,3.19,83800,84500,83300,23529706,1978336504100,502655690710000
20210210,005930,KR7005930003,삼성전자,81600,-1100,-1.33,82600,82600,81600,23025766,1888591264669,487134256080000
20210209,005930,KR7005930003,삼성전자,82700,-300,-.36,84000,84800,82700,20898332,1748440766360,493701016885000
20210208,005930,KR7005930003,삼성전자,83000,-500,-.6,83800,84200,83000,15338765,1281925400900,495491951650000
20210205,005930,KR7005930003,삼성전자,83500,1000,1.21,83100,84000,82500,18036835,1499217618600,498476842925000
20210204,005930,KR7005930003,삼성전자,82500,-2100,-2.48,83500,83800,82100,24171688,2000202343000,492507060375000
20210203,005930,KR7005930003,삼성전자,84600,200,.24,84800,85400,83400,22112205,1864450334050,505043603730000
20210202,005930,KR7005930003,삼성전자,84400,1400,1.69,84100,86400,83700,26302077,2234863449476,503849647220000
20210201,005930,KR7005930003,삼성전자,83000,1000,1.22,81700,83400,81000,28046832,2311656941176,495491951650000
20210129,005930,KR7005930003,삼성전자,82000,-1700,-2.03,84500,85000,82000,39615978,3292344404628,489522169100000
20210128,005930,KR7005930003,삼성전자,83700,-1900,-2.22,83200,85600,83200,31859808,2676569098000,499670799435000
20210127,005930,KR7005930003,삼성전자,85600,-1100,-1.27,86600,87700,85600,26423070,2282487598000,511013386280000
20210126,005930,KR7005930003,삼성전자,86700,-2700,-3.02,88800,89200,86500,33178936,2899318433100,517580147085000
20210125,005930,KR7005930003,삼성전자,89400,2600,3,87000,89900,86300,27258534,2410066876846,533698559970000
20210122,005930,KR7005930003,삼성전자,86800,-1300,-1.48,89000,89700,86800,30861661,2717635251520,518177125340000
20210121,005930,KR7005930003,삼성전자,88100,900,1.03,87500,88600,86500,25318011,2211209788500,525937842655000
20210120,005930,KR7005930003,삼성전자,87200,200,.23,89000,89000,86500,25211127,2205739149700,520565038360000
20210119,005930,KR7005930003,삼성전자,87000,2000,2.35,84500,88000,83600,39895044,3441342754500,519371081850000
20210118,005930,KR7005930003,삼성전자,85000,-3000,-3.41,86600,87300,84100,43227951,3715775992600,507431516750000
20210115,005930,KR7005930003,삼성전자,88000,-1700,-1.9,89800,91800,88000,33431809,2975231937664,525340864400000
20210114,005930,KR7005930003,삼성전자,89700,0,0,88700,90000,88700,26393970,2356661622700,535489494735000
20210113,005930,KR7005930003,삼성전자,89700,-900,-.99,89800,91200,89100,36068848,3244066562850,535489494735000
20210112,005930,KR7005930003,삼성전자,90600,-400,-.44,90300,91400,87800,48682416,4362546108950,540862299030000
20210111,005930,KR7005930003,삼성전자,91000,2200,2.48,90000,96800,89500,90306177,8379237727064,543250212050000
20210108,005930,KR7005930003,삼성전자,88800,5900,7.12,83300,90000,83000,59013307,5083939899952,530116690440000
20210107,005930,KR7005930003,삼성전자,82900,700,.85,82800,84200,82700,32644642,2726112459660,494894973395000
20210106,005930,KR7005930003,삼성전자,82200,-1700,-2.03,83300,84500,82100,42089013,3506903681680,490716125610000
20210105,005930,KR7005930003,삼성전자,83900,900,1.08,81600,83900,81600,35335669,2915618322800,500864755945000
20210104,005930,KR7005930003,삼성전자,83000,2000,2.47,81000,84400,80200,38655276,3185356823460,495491951650000
