날짜,ROC
2020-04-29,5.130293159609121
2020-04-28,2.908726178535607
2020-04-27,5.623471882640587
2020-04-24,7.690677966101695
2020-04-23,9.04480135249366
2020-04-22,11.304726639076454
2020-04-21,5.1691924434295204
2020-04-20,8.240016902598775
2020-04-17,8.905692081495484
2020-04-16,8.238330823833083
2020-04-14,6.137945581101033
2020-04-13,10.303300624442462
2020-04-10,22.641969290762855
2020-04-09,14.475797201192933
2020-04-08,21.34387351778656
2020-04-07,14.125457875457876
2020-04-06,6.1877974902639545
2020-04-03,-0.1692047377326565
2020-04-02,-3.5466775377089275
2020-04-01,-8.836378077839555
2020-03-31,-7.560928804452121
2020-03-30,-11.878607335691678
2020-03-27,-10.859389627410597
2020-03-26,-16.624820659971306
2020-03-25,-16.678383128295255
2020-03-24,-20.49645390070922
2020-03-23,-25.60290117860381
2020-03-20,-20.601092896174862
2020-03-19,-25.56086796616403
2020-03-18,-22.26374799786439
2020-03-17,-18.598097921803454
2020-03-16,-17.945157931273865
2020-03-13,-13.914721881031761
2020-03-12,-14.961161769672406
2020-03-11,-13.265645805592543
2020-03-10,-11.061434012253685
2020-03-09,-11.396814863968148
2020-03-06,-8.96326530612245
2020-03-05,-7.177814029363784
2020-03-04,-7.434761201378631
2020-03-03,-9.708578912901112
2020-03-02,-9.37603169362826
2020-02-28,-9.366666666666665
2020-02-27,-6.846816976127321
2020-02-26,-6.657899062962354
2020-02-25,-2.4547147452175384
2020-02-24,-3.04525348758081
2020-02-21,2.4744765530368578
2020-02-20,4.0706738264333975
2020-02-19,3.496143958868895
2020-02-18,1.1918751049185832
2020-02-17,3.1665824490483407
2020-02-14,0.11432304425934998
2020-02-13,-1.7891682785299807
2020-02-12,-0.2449779519843214
2020-02-11,-2.1640826873385013
2020-02-10,-2.3755287992190044
2020-02-07,-1.6307893020221786
2020-02-06,0.214168039538715
2020-02-05,-3.2590894202423843
2020-02-04,-3.2746420931380618
2020-02-03,-3.923524522028263
