"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 30일","4.4280","4.4290","4.4290","4.4290","0.02K","-0.24%"
"2021년 04월 29일","4.4385","4.4245","4.4245","4.4245","0.02K","-0.25%"
"2021년 04월 28일","4.4495","4.4020","4.4350","4.3840","0.03K","0.09%"
"2021년 04월 27일","4.4455","4.4360","4.4505","4.4360","0.02K","0.95%"
"2021년 04월 26일","4.4035","4.3340","4.4440","4.3340","0.01K","2.28%"
"2021년 04월 23일","4.3055","4.2995","4.2995","4.2995","0.26K","1.31%"
"2021년 04월 22일","4.2500","4.2735","4.2735","4.2735","0.00K","-0.11%"
"2021년 04월 21일","4.2545","4.2325","4.2730","4.2265","0.00K","1.48%"
"2021년 04월 20일","4.1925","4.2600","4.2600","4.2000","0.03K","-0.51%"
"2021년 04월 19일","4.2140","4.1300","4.1300","4.1300","0.04K","1.90%"
"2021년 04월 16일","4.1355","4.2010","4.2010","4.1690","0.03K","-1.10%"
"2021년 04월 15일","4.1815","4.1295","4.1295","4.1295","0.01K","2.04%"
"2021년 04월 14일","4.0980","4.1005","4.1005","4.1005","0.01K","2.12%"
"2021년 04월 13일","4.0130","4.0070","4.0265","4.0070","0.06K","0.33%"
"2021년 04월 12일","4.0000","3.9900","3.9900","3.9790","0.04K","-0.36%"
"2021년 04월 09일","4.0145","4.0305","4.0305","4.0305","0.00K","-1.23%"
"2021년 04월 08일","4.0645","4.0510","4.0950","4.0510","0.00K","1.09%"
"2021년 04월 07일","4.0205","4.0290","4.0290","4.0290","0.04K","-1.28%"
"2021년 04월 06일","4.0725","4.0700","4.0700","4.0700","0.05K","-0.68%"
"2021년 04월 05일","4.1005","4.0795","4.1195","4.0795","0.00K","3.59%"
"2021년 04월 01일","3.9585","3.9885","4.0080","3.9455","73.10K","-0.10%"
"2021년 03월 31일","3.9625","3.9600","3.9695","3.9600","0.06K","0.47%"
"2021년 03월 30일","3.9440","3.9510","3.9510","3.9510","0.02K","-1.29%"
"2021년 03월 29일","3.9955","4.0710","4.0710","4.0080","0.06K","-0.70%"
"2021년 03월 26일","4.0235","3.9995","3.9995","3.9995","0.00K","2.20%"
"2021년 03월 25일","3.9370","3.9500","3.9500","3.9500","0.01K","-2.20%"
"2021년 03월 24일","4.0255","4.0015","4.0015","4.0015","0.02K","-0.22%"
"2021년 03월 23일","4.0345","4.0210","4.0210","4.0210","0.01K","-1.34%"
"2021년 03월 22일","4.0895","4.0985","4.0985","4.0985","0.26K","0.80%"
"2021년 03월 19일","4.0570","4.0145","4.0620","4.0145","0.00K","0.00%"
"2021년 03월 18일","4.0570","4.1300","4.1300","4.0420","0.00K","-0.36%"
"2021년 03월 17일","4.0715","4.0480","4.0590","4.0480","0.02K","1.13%"
"2021년 03월 16일","4.0260","4.0585","4.0585","4.0585","0.00K","-1.47%"
"2021년 03월 15일","4.0860","4.1675","4.1675","4.1075","0.03K","-0.02%"
"2021년 03월 12일","4.0870","4.1015","4.1015","4.1015","0.01K","-0.02%"
"2021년 03월 11일","4.0880","4.0745","4.0875","4.0745","0.04K","2.87%"
"2021년 03월 10일","3.9740","4.0015","4.0350","3.9740","0.00K","0.68%"
"2021년 03월 09일","3.9470","4.0680","4.0795","3.9595","0.00K","-1.95%"
"2021년 03월 08일","4.0255","4.1165","4.1365","3.9900","0.00K","0.37%"
"2021년 03월 05일","4.0105","4.0210","4.0225","4.0000","0.01K","2.41%"
"2021년 03월 04일","3.9160","3.9925","3.9925","3.9850","0.02K","-3.89%"
"2021년 03월 03일","4.0745","4.1390","4.1390","4.0730","0.02K","-1.52%"
"2021년 03월 02일","4.1375","4.0905","4.1925","4.0265","0.00K","2.19%"
"2021년 03월 01일","4.0490","4.0665","4.0865","4.0665","0.02K","0.65%"
"2021년 02월 26일","4.0230","4.0270","4.0435","4.0270","0.06K","-3.63%"
"2021년 02월 25일","4.1745","4.1845","4.1845","4.1845","0.01K","-1.03%"
"2021년 02월 24일","4.2180","4.2025","4.2025","4.2025","0.01K","2.73%"
"2021년 02월 23일","4.1060","4.1355","4.1950","4.0710","0.00K","0.93%"
"2021년 02월 22일","4.0680","4.0145","4.0625","4.0145","0.00K","1.92%"
"2021년 02월 19일","3.9915","3.8630","4.0550","3.8600","0.05K","4.35%"
"2021년 02월 18일","3.8250","3.7945","3.8895","3.7945","0.00K","1.92%"
"2021년 02월 17일","3.7530","3.7950","3.8200","3.7675","0.01K","-0.01%"
"2021년 02월 16일","3.7535","3.7880","3.7880","3.7700","0.00K","-1.79%"
"2021년 02월 15일","3.8218","3.8005","3.8340","3.7997","-","0.57%"
"2021년 02월 14일","3.8003","3.7960","3.8087","3.7960","-","2.20%"
"2021년 02월 12일","3.7185","3.7300","3.7745","3.7270","1.22K","-0.07%"
"2021년 02월 11일","3.7210","3.7455","3.7615","3.7300","1.68K","0.11%"
"2021년 02월 10일","3.7170","3.6545","3.7590","3.6515","0.00K","1.64%"
"2021년 02월 09일","3.6570","3.6540","3.6935","3.6380","2.02K","1.16%"
"2021년 02월 08일","3.6150","3.6240","3.6510","3.6070","0.03K","0.72%"
"2021년 02월 05일","3.5890","3.5855","3.6170","3.5715","0.27K","1.73%"
"2021년 02월 04일","3.5280","3.5545","3.5545","3.5295","0.65K","-0.11%"
"2021년 02월 03일","3.5320","3.5240","3.5525","3.5000","0.98K","0.99%"
"2021년 02월 02일","3.4975","3.5385","3.5385","3.4930","0.91K","-0.51%"
"2021년 02월 01일","3.5155","3.5225","3.5655","3.5120","0.00K","-0.26%"
