"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 01일","2.3925","2.3435","2.3435","2.3435","0.00K","-1.22%"
"2020년 04월 30일","2.4220","2.4320","2.4320","2.4115","0.01K","-1.26%"
"2020년 04월 29일","2.4530","2.4380","2.4380","2.4380","0.05K","0.86%"
"2020년 04월 28일","2.4320","2.4000","2.4000","2.4000","0.00K","0.08%"
"2020년 04월 27일","2.4300","2.3970","2.3970","2.3950","0.03K","0.23%"
"2020년 04월 24일","2.4245","2.3795","2.3795","2.3795","0.01K","0.73%"
"2020년 04월 23일","2.4070","2.3820","2.3825","2.3820","0.01K","0.29%"
"2020년 04월 22일","2.4000","2.3290","2.3500","2.3290","0.04K","1.69%"
"2020년 04월 21일","2.3600","2.3795","2.3795","2.3795","0.01K","-2.58%"
"2020년 04월 20일","2.4225","2.3720","2.3720","2.3720","0.01K","-0.43%"
"2020년 04월 17일","2.4330","2.3960","2.4035","2.3795","0.02K","2.12%"
"2020년 04월 16일","2.3825","2.3565","2.3580","2.3565","0.02K","0.00%"
"2020년 04월 15일","2.3825","2.3535","2.3535","2.3535","0.01K","-1.47%"
"2020년 04월 14일","2.4180","2.3860","2.3860","2.3725","0.03K","0.69%"
"2020년 04월 13일","2.4015","2.3440","2.3440","2.3440","0.00K","5.79%"
"2020년 04월 10일","2.2700","2.2700","2.2700","2.2700","-","-3.61%"
"2020년 04월 09일","2.3550","2.3310","2.3355","2.3310","0.01K","0.15%"
"2020년 04월 08일","2.3515","2.2995","2.2995","2.2940","0.01K","0.19%"
"2020년 04월 07일","2.3470","2.3460","2.3460","2.3460","0.05K","2.53%"
"2020년 04월 06일","2.2890","2.2480","2.2480","2.2480","0.05K","1.26%"
"2020년 04월 03일","2.2605","2.2480","2.2480","2.2150","0.00K","-1.25%"
"2020년 04월 02일","2.2890","2.2520","2.2520","2.2520","0.01K","1.73%"
"2020년 04월 01일","2.2500","2.2115","2.2115","2.2115","0.01K","-2.07%"
"2020년 03월 31일","2.2975","2.2370","2.2370","2.2370","0.01K","2.98%"
"2020년 03월 30일","2.2310","2.1930","2.1930","2.1930","8.02K","-0.49%"
"2020년 03월 27일","2.2420","2.1870","2.2050","2.1870","0.01K","-0.47%"
"2020년 03월 26일","2.2525","2.2130","2.2130","2.2130","0.01K","-0.97%"
"2020년 03월 25일","2.2745","2.2525","2.2565","2.2525","0.01K","1.18%"
"2020년 03월 24일","2.2480","2.2015","2.2015","2.2015","0.00K","3.76%"
"2020년 03월 23일","2.1665","2.1270","2.1270","2.1270","0.10K","-3.26%"
"2020년 03월 20일","2.2395","2.2195","2.2225","2.2195","0.01K","-1.17%"
"2020년 03월 19일","2.2660","2.1500","2.1500","2.1500","0.01K","1.59%"
"2020년 03월 18일","2.2305","2.3350","2.3350","2.1700","0.01K","-6.62%"
"2020년 03월 17일","2.3885","2.4340","2.4340","2.3500","0.00K","-3.08%"
"2020년 03월 16일","2.4645","2.4200","2.4200","2.4200","0.00K","-2.61%"
"2020년 03월 13일","2.5305","2.4945","2.4945","2.4945","8.48K","-0.32%"
"2020년 03월 12일","2.5385","2.5025","2.5025","2.5025","0.01K","-1.09%"
"2020년 03월 11일","2.5665","2.5295","2.5295","2.5295","0.01K","-0.75%"
"2020년 03월 10일","2.5860","2.5515","2.5515","2.5515","0.01K","0.43%"
"2020년 03월 09일","2.5750","2.5315","2.5320","2.5315","0.00K","-1.89%"
"2020년 03월 06일","2.6245","2.5885","2.5885","2.5885","0.01K","-0.70%"
"2020년 03월 05일","2.6430","2.6075","2.6075","2.6075","0.03K","-0.43%"
"2020년 03월 04일","2.6545","2.6185","2.6185","2.6185","0.01K","0.47%"
"2020년 03월 03일","2.6420","2.6065","2.6065","2.6065","0.02K","-0.84%"
"2020년 03월 02일","2.6645","2.5525","2.5615","2.5525","0.01K","2.03%"
"2020년 02월 28일","2.6115","2.5600","2.5600","2.5595","0.02K","-0.85%"
"2020년 02월 27일","2.6340","2.5740","2.5740","2.5740","0.02K","-0.19%"
"2020년 02월 26일","2.6390","2.6215","2.6215","2.5825","0.01K","-0.34%"
"2020년 02월 25일","2.6480","2.6055","2.6055","2.6055","0.01K","-0.26%"
"2020년 02월 24일","2.6550","2.6190","2.6190","2.6190","0.00K","-1.28%"
"2020년 02월 21일","2.6895","2.6440","2.6990","2.6440","0.00K","0.65%"
"2020년 02월 20일","2.6720","2.6360","2.6360","2.6360","7.47K","-0.67%"
"2020년 02월 19일","2.6900","2.6550","2.6560","2.6540","0.01K","0.07%"
"2020년 02월 18일","2.6880","2.6515","2.6515","2.6515","0.01K","2.60%"
"2020년 02월 17일","2.6200","2.6070","2.6330","2.6020","-","0.50%"
"2020년 02월 16일","2.6070","2.5990","2.6100","2.5990","-","-2.74%"
"2020년 02월 14일","2.6805","2.6470","2.6470","2.6470","0.01K","-0.54%"
"2020년 02월 13일","2.6950","2.6610","2.6610","2.6610","0.03K","0.37%"
"2020년 02월 12일","2.6850","2.6505","2.6505","2.6505","9.07K","0.56%"
"2020년 02월 11일","2.6700","2.6355","2.6355","2.6355","7.58K","1.25%"
"2020년 02월 10일","2.6370","2.6020","2.6020","2.6020","9.11K","-0.11%"
"2020년 02월 07일","2.6400","2.6050","2.6050","2.6050","9.35K","-1.33%"
"2020년 02월 06일","2.6755","2.6530","2.6530","2.6530","0.00K","0.60%"
"2020년 02월 05일","2.6595","2.6280","2.6280","2.6280","0.01K","1.16%"
"2020년 02월 04일","2.6290","2.5995","2.5995","2.5995","0.00K","1.43%"
"2020년 02월 03일","2.5920","2.5560","2.5560","2.5560","0.02K","-0.12%"
