"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 02월 14일","42,550.3","42,061.1","42,799.7","41,591.3","53.60K","1.16%"
"2022년 02월 13일","42,061.1","42,205.5","42,725.1","41,880.1","25.88K","-0.34%"
"2022년 02월 12일","42,205.2","42,388.4","43,006.4","41,776.8","37.88K","-0.43%"
"2022년 02월 11일","42,388.4","43,519.3","43,915.1","42,023.4","69.95K","-2.60%"
"2022년 02월 10일","43,521.0","44,388.9","45,755.2","43,242.5","89.69K","-1.96%"
"2022년 02월 09일","44,388.9","44,038.2","44,800.4","43,163.0","50.92K","0.80%"
"2022년 02월 08일","44,038.2","43,833.9","45,399.8","42,705.0","92.88K","0.47%"
"2022년 02월 07일","43,833.9","42,385.2","44,468.3","41,695.4","76.60K","3.40%"
"2022년 02월 06일","42,392.2","41,411.9","42,614.8","41,176.3","31.20K","2.37%"
"2022년 02월 05일","41,412.1","41,566.5","41,899.8","40,963.3","46.32K","-0.37%"
"2022년 02월 04일","41,567.6","37,287.8","41,689.0","37,041.1","95.49K","11.48%"
"2022년 02월 03일","37,287.8","36,890.2","37,304.3","36,297.3","50.35K","1.08%"
"2022년 02월 02일","36,890.2","38,711.2","38,853.8","36,682.3","53.74K","-4.70%"
"2022년 02월 01일","38,709.7","38,475.6","39,230.0","38,037.9","55.20K","0.55%"
