"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 01일","8,821.6","8,628.6","9,040.3","8,621.0","1.11M","2.23%"
"2020년 04월 30일","8,629.0","8,770.6","9,437.5","8,425.5","2.04M","-1.62%"
"2020년 04월 29일","8,770.9","7,746.7","8,918.5","7,729.7","1.83M","13.22%"
"2020년 04월 28일","7,746.9","7,766.0","7,770.1","7,655.3","808.09K","-0.25%"
"2020년 04월 27일","7,766.0","7,679.4","7,768.5","7,637.7","980.50K","1.13%"
"2020년 04월 26일","7,678.9","7,540.4","7,679.4","7,520.5","921.59K","1.84%"
"2020년 04월 25일","7,540.4","7,503.9","7,684.6","7,451.0","861.93K","0.49%"
"2020년 04월 24일","7,503.8","7,491.3","7,583.5","7,423.5","951.95K","0.20%"
"2020년 04월 23일","7,488.5","7,112.8","7,655.4","7,036.5","1.34M","5.28%"
"2020년 04월 22일","7,112.9","6,842.5","7,137.4","6,821.8","914.18K","3.95%"
"2020년 04월 21일","6,842.5","6,833.4","6,919.3","6,774.3","892.57K","0.13%"
"2020년 04월 20일","6,833.5","7,122.9","7,207.5","6,771.2","1.26M","-4.06%"
"2020년 04월 19일","7,122.9","7,230.9","7,238.0","7,079.1","5.93M","-1.49%"
"2020년 04월 18일","7,230.8","7,035.9","7,259.4","7,031.5","796.45K","2.77%"
"2020년 04월 17일","7,035.8","7,085.5","7,142.8","7,005.8","810.10K","-0.70%"
"2020년 04월 16일","7,085.6","6,629.1","7,159.7","6,520.5","1.54M","6.89%"
"2020년 04월 15일","6,629.1","6,851.3","6,929.5","6,615.9","1.00M","-3.24%"
"2020년 04월 14일","6,850.9","6,841.8","6,970.8","6,768.6","999.53K","0.14%"
"2020년 04월 13일","6,841.3","6,918.1","6,920.3","6,618.5","1.25M","-1.10%"
"2020년 04월 12일","6,917.6","6,867.9","7,158.8","6,785.1","1.10M","0.73%"
"2020년 04월 11일","6,867.8","6,862.7","6,931.4","6,765.1","845.58K","0.07%"
"2020년 04월 10일","6,863.1","7,289.0","7,294.4","6,756.1","1.37M","-5.84%"
"2020년 04월 09일","7,289.0","7,361.1","7,361.1","7,140.3","963.55K","-0.98%"
"2020년 04월 08일","7,361.2","7,185.6","7,396.1","7,153.1","983.94K","2.45%"
"2020년 04월 07일","7,185.2","7,332.3","7,440.3","7,101.7","1.32M","-2.01%"
"2020년 04월 06일","7,332.3","6,772.8","7,335.0","6,770.1","1.53M","8.26%"
"2020년 04월 05일","6,772.7","6,857.5","6,889.4","6,686.0","842.33K","-1.23%"
"2020년 04월 04일","6,857.4","6,735.9","6,958.6","6,679.1","1.05M","1.80%"
"2020년 04월 03일","6,735.9","6,799.9","7,026.3","6,623.6","1.35M","-0.95%"
"2020년 04월 02일","6,800.5","6,638.8","7,182.7","6,567.9","1.74M","2.44%"
"2020년 04월 01일","6,638.5","6,412.4","6,661.3","6,157.4","1.40M","3.52%"
"2020년 03월 31일","6,412.5","6,391.1","6,513.1","6,346.3","1.05M","0.34%"
"2020년 03월 30일","6,391.0","5,890.4","6,576.5","5,872.5","1.43M","8.50%"
"2020년 03월 29일","5,890.4","6,233.2","6,258.8","5,889.3","916.17K","-5.51%"
"2020년 03월 28일","6,233.7","6,373.4","6,374.3","6,046.5","1.26M","-2.19%"
"2020년 03월 27일","6,373.4","6,725.5","6,813.7","6,322.3","1.16M","-5.23%"
"2020년 03월 26일","6,725.1","6,677.9","6,772.9","6,541.7","1.18M","0.69%"
"2020년 03월 25일","6,678.9","6,744.8","6,930.2","6,474.6","1.52M","-0.97%"
"2020년 03월 24일","6,744.6","6,468.8","6,814.2","6,380.8","1.73M","4.26%"
"2020년 03월 23일","6,468.9","5,822.0","6,564.7","5,710.8","1.88M","11.11%"
"2020년 03월 22일","5,822.1","6,186.9","6,394.4","5,771.2","1.48M","-5.89%"
"2020년 03월 21일","6,186.2","6,205.6","6,438.3","5,887.0","1.64M","-0.31%"
"2020년 03월 20일","6,205.3","6,171.6","6,858.1","5,748.2","2.22M","0.54%"
"2020년 03월 19일","6,172.0","5,359.2","6,379.5","5,256.0","2.18M","15.12%"
"2020년 03월 18일","5,361.4","5,260.7","5,373.1","5,020.9","1.80M","1.91%"
"2020년 03월 17일","5,261.1","5,030.2","5,432.8","4,946.5","1.89M","4.59%"
"2020년 03월 16일","5,030.0","5,366.4","5,369.3","4,477.7","2.55M","-6.27%"
"2020년 03월 15일","5,366.3","5,182.9","5,863.3","5,120.6","1.61M","3.54%"
"2020년 03월 14일","5,182.7","5,589.4","5,634.9","5,072.2","1.69M","-7.19%"
