"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 03월 13일","5,584.3","4,815.2","5,934.3","3,869.5","4.17M","15.71%"
"2020년 03월 12일","4,826.0","7,935.2","7,963.1","4,546.6","3.22M","-39.18%"
"2020년 03월 11일","7,935.1","7,892.1","7,976.5","7,606.0","1.10M","0.56%"
"2020년 03월 10일","7,891.2","7,933.0","8,145.5","7,740.2","1.20M","-0.53%"
"2020년 03월 09일","7,933.0","8,035.8","8,158.8","7,648.7","1.54M","-1.26%"
"2020년 03월 08일","8,034.1","8,887.8","8,888.0","8,015.3","1.11M","-9.61%"
"2020년 03월 07일","8,887.8","9,134.2","9,180.8","8,848.7","750.65K","-2.70%"
"2020년 03월 06일","9,134.8","9,060.6","9,165.2","9,004.9","1.04M","0.82%"
"2020년 03월 05일","9,060.3","8,757.9","9,147.3","8,751.5","950.76K","3.45%"
"2020년 03월 04일","8,757.9","8,761.3","8,840.3","8,679.7","759.69K","-0.04%"
"2020년 03월 03일","8,761.4","8,906.1","8,911.7","8,669.3","1.01M","-1.61%"
"2020년 03월 02일","8,904.8","8,537.5","8,961.8","8,503.1","1.02M","4.27%"
"2020년 03월 01일","8,540.0","8,543.8","8,737.2","8,437.2","784.05K","-0.04%"
"2020년 02월 29일","8,543.7","8,697.1","8,793.7","8,539.8","683.44K","-1.77%"
"2020년 02월 28일","8,697.5","8,820.1","8,898.7","8,451.9","1.08M","-1.37%"
"2020년 02월 27일","8,818.6","8,800.1","8,968.3","8,538.5","1.13M","0.21%"
"2020년 02월 26일","8,800.3","9,317.1","9,368.1","8,672.0","1.32M","-5.55%"
"2020년 02월 25일","9,317.2","9,662.6","9,672.3","9,269.8","937.97K","-3.57%"
"2020년 02월 24일","9,662.7","9,943.2","9,981.0","9,507.0","980.00K","-2.82%"
"2020년 02월 23일","9,942.7","9,655.6","9,965.6","9,653.4","775.88K","2.97%"
"2020년 02월 22일","9,655.7","9,684.5","9,706.5","9,569.8","589.88K","-0.30%"
"2020년 02월 21일","9,684.5","9,602.2","9,747.1","9,574.5","716.61K","0.85%"
"2020년 02월 20일","9,602.4","9,611.9","9,681.4","9,448.9","870.80K","-0.07%"
"2020년 02월 19일","9,609.4","10,158.6","10,230.9","9,424.3","905.95K","-5.40%"
"2020년 02월 18일","10,158.4","9,701.5","10,230.1","9,601.6","945.91K","4.71%"
"2020년 02월 17일","9,701.4","9,931.7","9,951.5","9,468.9","961.88K","-2.32%"
"2020년 02월 16일","9,932.3","9,907.4","10,056.4","9,654.9","808.91K","0.25%"
"2020년 02월 15일","9,907.7","10,336.0","10,369.8","9,831.7","808.81K","-4.12%"
"2020년 02월 14일","10,333.0","10,235.5","10,372.4","10,125.2","732.51K","0.96%"
"2020년 02월 13일","10,235.1","10,321.9","10,482.6","10,116.9","940.30K","-0.80%"
"2020년 02월 12일","10,317.7","10,229.3","10,435.6","10,229.3","803.25K","0.86%"
"2020년 02월 11일","10,229.5","9,854.0","10,314.1","9,725.1","791.28K","3.81%"
"2020년 02월 10일","9,854.1","10,151.5","10,181.7","9,774.8","781.22K","-2.93%"
"2020년 02월 09일","10,151.5","9,895.4","10,157.1","9,882.7","617.35K","2.59%"
"2020년 02월 08일","9,895.5","9,817.3","9,931.2","9,673.2","551.31K","0.78%"
"2020년 02월 07일","9,818.6","9,771.9","9,872.5","9,738.7","608.96K","0.48%"
"2020년 02월 06일","9,772.0","9,611.8","9,854.9","9,536.1","778.67K","1.67%"
"2020년 02월 05일","9,611.8","9,194.1","9,726.8","9,179.9","771.46K","4.54%"
"2020년 02월 04일","9,193.9","9,296.5","9,347.5","9,193.9","651.68K","-1.10%"
"2020년 02월 03일","9,296.6","9,334.6","9,582.8","9,243.1","701.39K","-0.41%"
"2020년 02월 02일","9,334.9","9,381.5","9,465.4","9,183.1","683.37K","-0.50%"
"2020년 02월 01일","9,381.6","9,349.3","9,458.8","9,301.5","458.42K","0.35%"
