"조회날짜","코드1","종목 코드","종목 명칭","종가","전일대비 등락","전일대비 등락률","시가","고가","저가","체결수량의 누적합","체결가격 * 체결수량 누적합","종가*상장좌수","상장좌수","기초지수 명칭","기초지수 종가","순자산총액"
20200529,069500,KR7069500007,KODEX 200,26775,-50,-.19,26650,26950,26520,8025387,214767801550,5127412500000,191500000,코스피 200,268.32,5260021146651
20200528,069500,KR7069500007,KODEX 200,26825,80,.3,26940,27110,26510,11259761,302448800590,5147717500000,191900000,코스피 200,268.29,5146663609010
20200527,069500,KR7069500007,KODEX 200,26745,15,.06,26605,26885,26555,9678327,258904588175,5114981250000,191250000,코스피 200,267.64,5145057155373
20200526,069500,KR7069500007,KODEX 200,26730,475,1.81,26295,26730,26280,8550753,227638934175,5057316000000,189200000,코스피 200,267.31,5121475661890
20200525,069500,KR7069500007,KODEX 200,26255,325,1.25,26070,26260,25885,7870015,205857149325,5077717000000,193400000,코스피 200,262.76,4980286743861
20200522,069500,KR7069500007,KODEX 200,25930,-445,-1.69,26375,26410,25815,8722528,227066773780,5056350000000,195000000,코스피 200,259.62,5029807719119
20200521,069500,KR7069500007,KODEX 200,26375,115,.44,26420,26465,26300,7349419,193986066890,5091693750000,193050000,코스피 200,263.74,5152211602085
20200520,069500,KR7069500007,KODEX 200,26260,60,.23,26095,26335,26075,7803384,204979932360,5040607000000,191950000,코스피 200,262.72,5080686435487
20200519,069500,KR7069500007,KODEX 200,26200,660,2.58,26110,26260,26020,6511539,170263159445,5080180000000,193900000,코스피 200,261.79,5033807435152
20200518,069500,KR7069500007,KODEX 200,25540,165,.65,25505,25620,25285,8440792,215326237460,4986685000000,195250000,코스피 200,255.44,4961422774582
20200515,069500,KR7069500007,KODEX 200,25375,60,.24,25525,25525,25190,8330517,211441738440,4989993750000,196650000,코스피 200,253.79,4963628159395
20200514,069500,KR7069500007,KODEX 200,25315,-270,-1.06,25350,25420,25170,6845402,173302141315,5211092750000,205850000,코스피 200,253.65,4996263123989
20200513,069500,KR7069500007,KODEX 200,25585,290,1.15,25000,25585,24965,8804409,223528100345,5325517750000,208150000,코스피 200,255.85,5275758788224
20200512,069500,KR7069500007,KODEX 200,25295,-180,-.71,25505,25530,25075,12606799,319148266145,5252506750000,207650000,코스피 200,253.37,5283213011452
20200511,069500,KR7069500007,KODEX 200,25475,-185,-.72,25720,25885,25440,5840969,149771545670,5297526250000,207950000,코스피 200,254.95,5303309822368
20200508,069500,KR7069500007,KODEX 200,25660,220,.86,25610,25845,25610,6344169,163324668255,5273130000000,205500000,코스피 200,256.62,5346100787035
20200507,069500,KR7069500007,KODEX 200,25440,-60,-.24,25405,25625,25315,8295859,211260595095,5325864000000,209350000,코스피 200,254.46,5238464569452
20200506,069500,KR7069500007,KODEX 200,25500,465,1.86,25500,25500,25125,9817501,249090154390,5176500000000,203000000,코스피 200,255,5348174793564
20200504,069500,KR7069500007,KODEX 200,25035,-785,-3.04,25320,25385,25000,16246928,408545185190,5010755250000,200150000,코스피 200,250.6,5096517916935
20200429,069500,KR7069500007,KODEX 200,25820,170,.66,25680,25995,25605,9920999,256510643140,5167873000000,200150000,코스피 200,258.15,5176429184649
20200428,069500,KR7069500007,KODEX 200,25650,155,.61,25590,25740,25335,8888687,227371394475,5133847500000,200150000,코스피 200,256.39,5141344231111
20200427,069500,KR7069500007,KODEX 200,25920,505,1.99,25505,26020,25465,6073175,156654195940,5333040000000,205750000,코스피 200,254.84,5110062166266
20200424,069500,KR7069500007,KODEX 200,25415,-385,-1.49,25650,25705,25300,5665238,144594966020,5407041250000,212750000,코스피 200,250.28,5245858721626
20200423,069500,KR7069500007,KODEX 200,25800,250,.98,25710,25950,25555,16564812,426839051715,5626980000000,218100000,코스피 200,253.74,5498606372717
20200422,069500,KR7069500007,KODEX 200,25550,220,.87,24990,25650,24855,20758778,522698482945,5684875000000,222500000,코스피 200,251.88,5596354655458
20200421,069500,KR7069500007,KODEX 200,25330,-285,-1.11,25490,25595,24910,19428876,490227794510,5753709500000,227150000,코스피 200,249.4,5653929164562
20200420,069500,KR7069500007,KODEX 200,25615,-310,-1.2,25890,25980,25545,10896948,280572497790,5741602250000,224150000,코스피 200,252.14,5835070050759
20200417,069500,KR7069500007,KODEX 200,25925,765,3.04,25675,26135,25650,14393872,370803240965,5913492500000,228100000,코스피 200,255.02,5822898882906
20200416,069500,KR7069500007,KODEX 200,25160,0,0,24895,25205,24750,10387408,260376952205,5910084000000,234900000,코스피 200,247.1,5744499565585
