"조회날짜","코드1","종목 코드","종목 명칭","종가","전일대비 등락","전일대비 등락률","시가","고가","저가","체결수량의 누적합","체결가격 * 체결수량 누적합","종가*상장좌수","상장좌수","기초지수 명칭","기초지수 종가","순자산총액"
20200414,069500,KR7069500007,KODEX 200,25160,430,1.74,24940,25295,24855,18968821,476992431105,5996886000000,238350000,코스피 200,247.45,5923745178280
20200413,069500,KR7069500007,KODEX 200,24730,-430,-1.71,25085,25085,24720,29125922,724138191660,5988369500000,242150000,코스피 200,243.4,5913444343575
20200410,069500,KR7069500007,KODEX 200,25160,210,.84,24900,25195,24820,12118561,303363726975,6240938000000,248050000,코스피 200,248,6119955220726
20200409,069500,KR7069500007,KODEX 200,24950,390,1.59,24990,25030,24685,20087230,499712960255,6253717500000,250650000,코스피 200,245.61,6210005972044
20200408,069500,KR7069500007,KODEX 200,24560,-365,-1.46,24795,25115,24560,13752160,340668743295,6025796000000,245350000,코스피 200,241.89,6181553230255
20200407,069500,KR7069500007,KODEX 200,24925,385,1.57,24910,25190,24495,13142304,326408508810,6050543750000,242750000,코스피 200,244.87,6124754200511
20200406,069500,KR7069500007,KODEX 200,24540,940,3.98,23835,24580,23810,13525642,328616077185,5917821000000,241150000,코스피 200,240.81,5960958354995
20200403,069500,KR7069500007,KODEX 200,23600,-60,-.25,23710,23865,23315,14820692,349796180190,5815040000000,246400000,코스피 200,231.7,5701015557099
20200402,069500,KR7069500007,KODEX 200,23660,705,3.07,23075,23665,22755,14879115,345997260910,5858216000000,247600000,코스피 200,231.84,5828660392118
20200401,069500,KR7069500007,KODEX 200,22955,-1130,-4.69,23870,24145,22955,18755243,444260465165,5658407500000,246500000,코스피 200,226.35,5720820098015
20200331,069500,KR7069500007,KODEX 200,24085,420,1.77,23815,24140,23640,11805006,282709319805,5880352750000,244150000,코스피 200,236.82,5954829867553
20200330,069500,KR7069500007,KODEX 200,23665,-140,-.59,23060,23910,22915,15830905,370858103980,5797925000000,245000000,코스피 200,232.45,5790566033640
20200327,069500,KR7069500007,KODEX 200,23805,560,2.41,24230,24350,23010,18297580,433561556165,5884596000000,247200000,코스피 200,233.79,5829913803309
20200326,069500,KR7069500007,KODEX 200,23245,-460,-1.94,23695,24050,22885,16524210,390254171255,5722919000000,246200000,코스피 200,229.34,5770910318973
20200325,069500,KR7069500007,KODEX 200,23705,1285,5.73,23090,23760,22780,35369755,827546258405,5912027000000,249400000,코스피 200,232.89,5833533325039
20200324,069500,KR7069500007,KODEX 200,22420,1905,9.29,21100,22420,20795,19045947,413923240555,5608363000000,250150000,코스피 200,220.34,5594983785281
20200323,069500,KR7069500007,KODEX 200,20515,-1280,-5.87,20230,21020,20190,22468822,462684250430,4980016250000,242750000,코스피 200,201.87,5151400595815
20200320,069500,KR7069500007,KODEX 200,21795,1555,7.68,20825,21795,20385,40017034,853305336845,5346313500000,245300000,코스피 200,213.67,5286878806047
20200319,069500,KR7069500007,KODEX 200,20240,-1600,-7.33,22335,22490,19945,58833336,1212637369305,4981064000000,246100000,코스피 200,199.28,4988036609856
20200318,069500,KR7069500007,KODEX 200,21840,-1270,-5.5,23120,23295,21840,28297687,638998853500,5300568000000,242700000,코스피 200,215.83,5411993322375
20200317,069500,KR7069500007,KODEX 200,23110,-530,-2.24,22775,23815,22595,47261837,1093133558135,5641151000000,244100000,코스피 200,226.89,5606968211113
20200316,069500,KR7069500007,KODEX 200,23640,-890,-3.63,24700,24970,23570,40169708,961569029905,5587314000000,236350000,코스피 200,232.97,5787448894688
20200313,069500,KR7069500007,KODEX 200,24530,-650,-2.58,23225,25045,23060,33779250,816926321950,5767003000000,235100000,코스피 200,240.65,5786825592155
20200312,069500,KR7069500007,KODEX 200,25180,-875,-3.36,25860,25910,24700,27452828,691470873340,6031869000000,239550000,코스피 200,247.62,5918806058497
20200311,069500,KR7069500007,KODEX 200,26055,-800,-2.98,26810,26870,25945,18777209,493214273885,6400410750000,245650000,코스피 200,257.01,6257248898487
20200310,069500,KR7069500007,KODEX 200,26855,150,.56,26660,26940,26495,22616889,606542343200,6651983500000,247700000,코스피 200,264.67,6605278608204
20200309,069500,KR7069500007,KODEX 200,26705,-1175,-4.21,27000,27120,26525,14239886,381194551410,6574771000000,246200000,코스피 200,263.11,6620703744380
20200306,069500,KR7069500007,KODEX 200,27880,-570,-2,28075,28190,27745,9932090,276873436715,6809690000000,244250000,코스피 200,275.1,6876929214684
20200305,069500,KR7069500007,KODEX 200,28450,250,.89,28370,28580,28125,7628273,216752214300,6913350000000,243000000,코스피 200,281.38,6974815325239
20200304,069500,KR7069500007,KODEX 200,28200,625,2.27,27360,28245,27360,6264173,175952144945,6899130000000,244650000,코스피 200,278.13,6862018391599
20200303,069500,KR7069500007,KODEX 200,27575,125,.46,28065,28130,27440,9381632,260291944420,6775177500000,245700000,코스피 200,271.56,6747919966461
20200302,069500,KR7069500007,KODEX 200,27450,260,.96,27325,27615,26980,14261805,390787490140,6727995000000,245100000,코스피 200,270.37,6746457108965
20200228,069500,KR7069500007,KODEX 200,27190,-905,-3.22,27685,27780,27135,21569026,589262152440,6551430500000,240950000,코스피 200,268.02,6672597855589
20200227,069500,KR7069500007,KODEX 200,28095,-295,-1.04,28380,28470,28000,12999942,366160013885,6829894500000,243100000,코스피 200,277.09,6779203881297
20200226,069500,KR7069500007,KODEX 200,28390,-420,-1.46,28390,28565,28185,10156099,288247528790,6925740500000,243950000,코스피 200,279.94,6908599506261
20200225,069500,KR7069500007,KODEX 200,28810,315,1.11,28480,28820,28350,12962540,372508277700,7232750500000,251050000,코스피 200,284.24,7038061295265
20200224,069500,KR7069500007,KODEX 200,28495,-1115,-3.77,29110,29110,28475,13008286,373179238725,7116626250000,249750000,코스피 200,281.02,7162956832167
20200221,069500,KR7069500007,KODEX 200,29610,-430,-1.43,29620,29880,29540,9081063,269455861360,7448395500000,251550000,코스피 200,292.42,7408512564948
20200220,069500,KR7069500007,KODEX 200,30040,-155,-.51,30390,30480,29860,5903424,177760942025,7789372000000,259300000,코스피 200,296.65,7570905963523
20200219,069500,KR7069500007,KODEX 200,30195,55,.18,30300,30360,29915,7434476,224348850035,7748037000000,256600000,코스피 200,298.33,7846930933860
20200218,069500,KR7069500007,KODEX 200,30140,-485,-1.58,30400,30470,30095,8312299,251086227760,7862019000000,260850000,코스피 200,297.74,7749318527667
20200217,069500,KR7069500007,KODEX 200,30625,-25,-.08,30600,30760,30470,4963297,152131992400,8062031250000,263250000,코스피 200,302.76,8009711647526
20200214,069500,KR7069500007,KODEX 200,30650,185,.61,30410,30770,30265,7689460,235692432405,8044092500000,262450000,코스피 200,303.01,8089444877921
20200213,069500,KR7069500007,KODEX 200,30465,-75,-.25,30610,30790,30385,7663996,234494470835,8135678250000,267050000,코스피 200,300.93,8010678025788
20200212,069500,KR7069500007,KODEX 200,30540,250,.83,30255,30590,30170,6612638,201478104705,8251908000000,270200000,코스피 200,301.54,8167738221605
20200211,069500,KR7069500007,KODEX 200,30290,290,.97,30095,30480,30095,7530168,228436142630,8232822000000,271800000,코스피 200,299.28,8203216721229
20200210,069500,KR7069500007,KODEX 200,30000,-160,-.53,29815,30030,29690,5082298,152268981685,8079000000000,269300000,코스피 200,296.24,8169393397253
20200207,069500,KR7069500007,KODEX 200,30160,-255,-.84,30350,30350,29970,6169272,186213217520,8245744000000,273400000,코스피 200,298.21,8146466919425
20200206,069500,KR7069500007,KODEX 200,30415,880,2.98,29855,30465,29810,7722910,233843429150,8703252250000,286150000,코스피 200,300.65,8337050663747
20200205,069500,KR7069500007,KODEX 200,29535,145,.49,29690,29765,29380,8868720,262268895505,8445533250000,285950000,코스피 200,292.02,8479141130718
20200204,069500,KR7069500007,KODEX 200,29390,495,1.71,28900,29475,28875,16169654,475391340380,8461381000000,287900000,코스피 200,290.68,8434784897997
20200203,069500,KR7069500007,KODEX 200,28895,30,.1,28540,28995,28400,8098264,232671980120,8563033250000,296350000,코스피 200,285.05,8331533645917
20200131,069500,KR7069500007,KODEX 200,28865,-310,-1.06,29370,29485,28865,6526581,189560312070,8554142750000,296350000,코스피 200,284.53,8561208319156
20200130,069500,KR7069500007,KODEX 200,29175,-560,-1.88,29695,29765,29095,8272628,242771928840,8646011250000,296350000,코스피 200,288.37,8674322257069
20200129,069500,KR7069500007,KODEX 200,29785,100,.34,29815,29940,29635,2968338,88507318425,8922096750000,299550000,코스피 200,293.98,8841159570085
20200128,069500,KR7069500007,KODEX 200,29685,-930,-3.04,29900,30055,29535,8162182,242649132850,9085094250000,306050000,코스피 200,292.77,8914779098066
20200123,069500,KR7069500007,KODEX 200,30615,-405,-1.31,30820,30860,30590,5616217,172368165310,9274814250000,302950000,코스피 200,302.33,9401673126762
20200122,069500,KR7069500007,KODEX 200,31020,405,1.32,30550,31050,30535,6071067,187861843740,9439386000000,304300000,코스피 200,306.08,9420500237144
20200121,069500,KR7069500007,KODEX 200,30615,-345,-1.11,30935,30995,30580,6020932,184798549780,9533511000000,311400000,코스피 200,302.11,9341689054953
20200120,069500,KR7069500007,KODEX 200,30960,230,.75,30865,31135,30850,5988445,185769227365,9814320000000,317000000,코스피 200,305.58,9666118898369
20200117,069500,KR7069500007,KODEX 200,30730,70,.23,30815,30995,30665,12015359,369991747855,9756775000000,317500000,코스피 200,303.3,9768856738345
20200116,069500,KR7069500007,KODEX 200,30660,310,1.02,30350,30670,30315,6501932,198832316225,9706956000000,316600000,코스피 200,302.78,9767872964190
20200115,069500,KR7069500007,KODEX 200,30350,-180,-.59,30460,30500,30300,4884428,148403424555,9627020000000,317200000,코스피 200,299.74,9643248241474
20200114,069500,KR7069500007,KODEX 200,30530,145,.48,30545,30740,30505,5973830,182916631100,9792497500000,320750000,코스피 200,301.53,9718967692947
20200113,069500,KR7069500007,KODEX 200,30385,310,1.03,30075,30405,30055,5358828,162610332905,9733834750000,320350000,코스피 200,300.13,9781775427530
20200110,069500,KR7069500007,KODEX 200,30075,245,.82,29830,30100,29825,10309217,310409797585,9604451250000,319350000,코스피 200,297.06,9672310009245
20200109,069500,KR7069500007,KODEX 200,29830,490,1.67,29745,29830,29635,4573148,136297519215,9602277000000,321900000,코스피 200,294.41,9556177249763
20200108,069500,KR7069500007,KODEX 200,29340,-190,-.64,29305,29500,29150,6391090,187684015065,9390267000000,320050000,코스피 200,289.42,9472997477499
20200107,069500,KR7069500007,KODEX 200,29530,295,1.01,29430,29645,29360,5533809,163576083195,9659263000000,327100000,코스피 200,291.23,9476833480889
20200106,069500,KR7069500007,KODEX 200,29235,-225,-.76,29255,29340,29175,5762210,168608662090,9282112500000,317500000,코스피 200,288.43,9593753720301
20200103,069500,KR7069500007,KODEX 200,29460,-5,-.02,29725,29890,29305,7936853,234588035165,9562716000000,324600000,코스피 200,290.74,9385627914087
20200102,069500,KR7069500007,KODEX 200,29465,-315,-1.06,29805,29880,29410,4789390,141514571910,9206339250000,312450000,코스피 200,290.35,9582963771672
