"날짜","종가","오픈","고가","저가","변동 %"
"2021년 04월 30일","1.626","1.645","1.659","1.620","-0.95%"
"2021년 04월 29일","1.641","1.615","1.690","1.615","1.89%"
"2021년 04월 28일","1.611","1.620","1.661","1.608","-0.87%"
"2021년 04월 27일","1.625","1.570","1.630","1.570","3.62%"
"2021년 04월 26일","1.568","1.563","1.599","1.556","0.35%"
"2021년 04월 25일","1.563","1.563","1.563","1.563","0.22%"
"2021년 04월 23일","1.559","1.547","1.582","1.531","1.16%"
"2021년 04월 22일","1.542","1.554","1.587","1.531","-1.12%"
"2021년 04월 21일","1.559","1.564","1.586","1.554","-0.45%"
"2021년 04월 20일","1.566","1.598","1.633","1.557","-2.73%"
"2021년 04월 19일","1.610","1.578","1.617","1.552","2.02%"
"2021년 04월 18일","1.578","1.574","1.578","1.574","-0.77%"
"2021년 04월 16일","1.590","1.565","1.599","1.552","1.03%"
"2021년 04월 15일","1.574","1.641","1.646","1.528","-3.67%"
"2021년 04월 14일","1.634","1.615","1.650","1.611","0.88%"
"2021년 04월 13일","1.620","1.676","1.703","1.616","-2.97%"
"2021년 04월 12일","1.669","1.674","1.685","1.644","-0.31%"
"2021년 04월 11일","1.674","1.674","1.674","1.674","0.75%"
"2021년 04월 09일","1.662","1.633","1.687","1.621","2.20%"
"2021년 04월 08일","1.626","1.669","1.674","1.617","-3.16%"
"2021년 04월 07일","1.679","1.663","1.679","1.628","1.29%"
"2021년 04월 06일","1.658","1.700","1.716","1.653","-2.91%"
"2021년 04월 05일","1.707","1.705","1.745","1.700","0.12%"
"2021년 04월 04일","1.705","1.700","1.705","1.700","1.94%"
"2021년 04월 02일","1.673","1.670","1.729","1.667","0.00%"
"2021년 04월 01일","1.673","1.737","1.753","1.672","-4.04%"
"2021년 03월 31일","1.744","1.717","1.753","1.708","1.99%"
"2021년 03월 30일","1.710","1.713","1.776","1.706","-0.41%"
"2021년 03월 29일","1.717","1.672","1.728","1.635","2.67%"
"2021년 03월 28일","1.672","1.671","1.672","1.671","-0.11%"
"2021년 03월 26일","1.674","1.626","1.681","1.619","2.51%"
"2021년 03월 25일","1.633","1.612","1.642","1.591","1.21%"
"2021년 03월 24일","1.614","1.615","1.651","1.589","-0.53%"
"2021년 03월 23일","1.622","1.682","1.702","1.615","-4.27%"
"2021년 03월 22일","1.695","1.707","1.709","1.663","-0.71%"
"2021년 03월 21일","1.707","1.710","1.710","1.707","-1.34%"
"2021년 03월 19일","1.730","1.710","1.750","1.671","1.38%"
"2021년 03월 18일","1.706","1.660","1.754","1.629","3.66%"
"2021년 03월 17일","1.646","1.621","1.689","1.616","1.53%"
"2021년 03월 16일","1.621","1.602","1.628","1.585","0.88%"
"2021년 03월 15일","1.607","1.637","1.639","1.595","-1.81%"
"2021년 03월 14일","1.637","1.639","1.639","1.637","0.76%"
"2021년 03월 12일","1.625","1.541","1.642","1.532","5.83%"
"2021년 03월 11일","1.535","1.521","1.547","1.475","0.92%"
"2021년 03월 10일","1.521","1.525","1.566","1.506","-0.45%"
"2021년 03월 09일","1.528","1.589","1.594","1.523","-4.67%"
"2021년 03월 08일","1.603","1.597","1.613","1.575","0.23%"
"2021년 03월 07일","1.599","1.597","1.599","1.597","1.44%"
"2021년 03월 05일","1.577","1.566","1.625","1.535","1.25%"
"2021년 03월 04일","1.557","1.486","1.569","1.450","4.91%"
"2021년 03월 03일","1.484","1.402","1.498","1.398","6.15%"
"2021년 03월 02일","1.398","1.424","1.453","1.390","-1.92%"
"2021년 03월 01일","1.426","1.395","1.460","1.383","2.21%"
"2021년 02월 28일","1.395","1.415","1.415","1.395","-0.85%"
"2021년 02월 26일","1.407","1.529","1.558","1.381","-8.08%"
"2021년 02월 25일","1.530","1.379","1.614","1.374","11.52%"
"2021년 02월 24일","1.372","1.343","1.435","1.330","2.16%"
"2021년 02월 23일","1.343","1.369","1.389","1.342","-1.86%"
"2021년 02월 22일","1.369","1.363","1.394","1.326","0.51%"
"2021년 02월 21일","1.362","1.367","1.367","1.362","1.65%"
"2021년 02월 19일","1.340","1.292","1.363","1.282","3.27%"
"2021년 02월 18일","1.297","1.274","1.318","1.258","1.19%"
"2021년 02월 17일","1.282","1.329","1.333","1.269","-2.18%"
"2021년 02월 16일","1.311","1.250","1.317","1.223","4.85%"
"2021년 02월 15일","1.250","1.250","1.250","1.250","3.32%"
"2021년 02월 12일","1.210","1.163","1.213","1.150","3.87%"
"2021년 02월 11일","1.165","1.147","1.166","1.132","3.61%"
"2021년 02월 10일","1.124","1.164","1.176","1.122","-3.10%"
"2021년 02월 09일","1.160","1.164","1.172","1.140","-1.32%"
"2021년 02월 08일","1.176","1.172","1.200","1.150","0.15%"
"2021년 02월 07일","1.174","1.177","1.177","1.174","0.44%"
"2021년 02월 05일","1.169","1.138","1.188","1.129","2.90%"
"2021년 02월 04일","1.136","1.143","1.162","1.131","-0.29%"
"2021년 02월 03일","1.139","1.108","1.141","1.105","4.07%"
"2021년 02월 02일","1.095","1.083","1.118","1.074","1.44%"
"2021년 02월 01일","1.079","1.071","1.089","1.060","0.79%"
