"조회날짜","코드1","종목 코드","종목 명칭","종가","전일대비 등락","전일대비 등락률","시가","고가","저가","체결수량의 누적합","체결가격 * 체결수량 누적합","종가*상장좌수","상장좌수","기초지수 명칭","기초지수 종가","순자산총액"
20220526,069500,KR7069500007,KODEX 200,34480,-115,-.33,34595,34945,34355,6777076,234197488505,5080628000000,147350000,코스피 200,344.26,5058427027452
20220525,069500,KR7069500007,KODEX 200,34595,145,.42,34660,34825,34430,6735545,233370095985,4910760250000,141950000,코스피 200,345.6,5102392868588
20220524,069500,KR7069500007,KODEX 200,34450,-650,-1.85,34950,35030,34450,5416640,187387240065,4802330000000,139400000,코스피 200,344.08,4893775800336
20220523,069500,KR7069500007,KODEX 200,35100,115,.33,35135,35225,34915,5876025,206112707170,5031585000000,143350000,코스피 200,350.34,4892952813360
20220520,069500,KR7069500007,KODEX 200,34985,615,1.79,34515,35025,34485,4661990,162813735335,4992359500000,142700000,코스피 200,349.29,5016595210744
20220519,069500,KR7069500007,KODEX 200,34370,-500,-1.43,34125,34450,34060,6054919,207904492160,4835859000000,140700000,코스피 200,343.24,4907694704513
20220518,069500,KR7069500007,KODEX 200,34870,65,.19,34990,35145,34770,6376438,222530706835,4880056500000,139950000,코스피 200,348.34,4910560840796
20220517,069500,KR7069500007,KODEX 200,34805,335,.97,34525,34850,34520,3999458,139083458010,4815271750000,138350000,코스피 200,347.53,4873001621671
20220516,069500,KR7069500007,KODEX 200,34470,-135,-.39,34850,34925,34395,7376786,254821293045,4789606500000,138950000,코스피 200,343.94,4767746716701
20220513,069500,KR7069500007,KODEX 200,34605,800,2.37,34010,34645,33990,5262557,181299729585,4723582500000,136500000,코스피 200,345.5,4810009764594
20220512,069500,KR7069500007,KODEX 200,33805,-565,-1.64,34020,34295,33785,7111368,241345187290,4573816500000,135300000,코스피 200,337.94,4622131930149
20220511,069500,KR7069500007,KODEX 200,34370,-5,-.01,34195,34420,34105,6549110,224892355070,4645105500000,135150000,코스피 200,343.44,4655649954317
20220510,069500,KR7069500007,KODEX 200,34375,-180,-.52,34295,34445,33855,7914490,270747316955,4656093750000,135450000,코스피 200,343.67,4653811726365
20220509,069500,KR7069500007,KODEX 200,34555,-330,-.95,34745,34910,34505,7164200,248055369010,4659741750000,134850000,코스피 200,345.41,4687629690021
20220506,069500,KR7069500007,KODEX 200,34885,-490,-1.39,35010,35010,34785,6080928,212235576685,4843782250000,138850000,코스피 200,349,4715195147547
20220504,069500,KR7069500007,KODEX 200,35375,85,.24,35450,35570,35245,5560940,196879498835,4844606250000,136950000,코스피 200,353.85,4922404999557
20220503,069500,KR7069500007,KODEX 200,35290,-85,-.24,35380,35645,35290,5987778,212098594375,4723566500000,133850000,코스피 200,353.32,4847789156851
20220502,069500,KR7069500007,KODEX 200,35375,-135,-.38,35100,35435,35100,5834579,206382461730,4772087500000,134900000,코스피 200,354.02,4747522475269
20220429,069500,KR7069500007,KODEX 200,35510,525,1.5,35010,35540,34895,6267371,222071649675,4790299000000,134900000,코스피 200,355.08,4799010454871
20220428,069500,KR7069500007,KODEX 200,34985,345,1,34850,34995,34575,6629596,231168680580,4719476500000,134900000,코스피 200,350.16,4732814782877
20220427,069500,KR7069500007,KODEX 200,35140,-420,-1.18,35080,35180,34850,4420137,154847003965,4895002000000,139300000,코스피 200,346.21,4679484847430
20220426,069500,KR7069500007,KODEX 200,35560,150,.42,35555,35715,35500,2878893,102439778775,4983734000000,140150000,코스피 200,350.67,4963909124586
20220425,069500,KR7069500007,KODEX 200,35410,-575,-1.6,35595,35695,35395,6727922,238670879860,4845858500000,136850000,코스피 200,348.98,4970510152312
20220422,069500,KR7069500007,KODEX 200,35985,-400,-1.1,36060,36095,35840,5189540,186773957545,4884963750000,135750000,코스피 200,355.43,4941712251987
20220421,069500,KR7069500007,KODEX 200,36385,160,.44,36340,36585,36315,5716294,208318165585,4986564250000,137050000,코스피 200,359.02,4950607150171
20220420,069500,KR7069500007,KODEX 200,36225,-30,-.08,36265,36310,35955,2807810,101378617750,5124026250000,141450000,코스피 200,357.52,4977484519289
20220419,069500,KR7069500007,KODEX 200,36255,420,1.17,35980,36340,35970,3026251,109683676835,5318608500000,146700000,코스피 200,357.36,5135026979830
20220418,069500,KR7069500007,KODEX 200,35835,30,.08,35690,35950,35570,5517718,197850874110,5068860750000,141450000,코스피 200,353.63,5270804581788
20220415,069500,KR7069500007,KODEX 200,35805,-430,-1.19,36000,36000,35730,6497906,232962709635,5077149000000,141800000,코스피 200,353.84,5085261995227
