"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 01일","1,700.90","1,693.50","1,714.40","1,676.00","168.02K","0.40%"
"2020년 04월 30일","1,694.20","1,729.60","1,737.00","1,687.50","234.53K","-1.12%"
"2020년 04월 29일","1,713.40","1,724.80","1,733.50","1,708.20","159.60K","0.16%"
"2020년 04월 28일","1,710.60","1,713.50","1,720.70","1,694.90","1.26K","-0.12%"
"2020년 04월 27일","1,712.60","1,734.30","1,734.30","1,708.30","0.74K","-0.67%"
"2020년 04월 24일","1,724.20","1,733.70","1,746.60","1,715.00","0.90K","-0.53%"
"2020년 04월 23일","1,733.40","1,725.60","1,750.00","1,721.20","1.70K","0.35%"
"2020년 04월 22일","1,727.40","1,698.60","1,730.40","1,690.10","1.65K","2.93%"
"2020년 04월 21일","1,678.30","1,703.60","1,709.90","1,659.20","1.66K","-1.47%"
"2020년 04월 20일","1,703.40","1,685.00","1,710.00","1,677.60","0.62K","0.75%"
"2020년 04월 17일","1,690.80","1,722.90","1,725.70","1,683.50","1.83K","-1.85%"
"2020년 04월 16일","1,722.70","1,732.20","1,756.40","1,718.00","1.02K","-0.40%"
"2020년 04월 15일","1,729.60","1,746.60","1,747.70","1,722.40","1.08K","-1.68%"
"2020년 04월 14일","1,759.10","1,752.70","1,778.20","1,737.70","1.16K","0.53%"
"2020년 04월 13일","1,749.80","1,729.50","1,760.60","1,711.80","1.61K","0.53%"
"2020년 04월 10일","1,740.60","1,740.60","1,740.60","1,740.60","-","0.04%"
"2020년 04월 09일","1,739.90","1,669.20","1,739.70","1,666.50","1.88K","3.93%"
"2020년 04월 08일","1,674.10","1,669.80","1,685.00","1,660.80","1.29K","0.09%"
"2020년 04월 07일","1,672.60","1,694.80","1,731.80","1,662.00","2.14K","-0.68%"
"2020년 04월 06일","1,684.00","1,639.70","1,705.50","1,628.10","1.47K","2.83%"
"2020년 04월 03일","1,637.60","1,629.70","1,642.00","1,616.50","0.51K","0.42%"
"2020년 04월 02일","1,630.70","1,599.00","1,635.80","1,590.50","0.44K","2.94%"
"2020년 04월 01일","1,584.10","1,581.70","1,605.00","1,574.80","0.35K","-0.33%"
"2020년 03월 31일","1,589.30","1,634.60","1,634.60","1,582.80","0.97K","-2.92%"
"2020년 03월 30일","1,637.10","1,653.70","1,667.40","1,623.40","3.08K","0.74%"
"2020년 03월 27일","1,625.00","1,640.40","1,647.20","1,611.40","100.64K","-1.59%"
"2020년 03월 26일","1,651.20","1,642.50","1,672.50","1,611.00","215.97K","1.09%"
"2020년 03월 25일","1,633.40","1,666.20","1,699.30","1,615.20","254.19K","-1.65%"
"2020년 03월 24일","1,660.80","1,563.80","1,698.00","1,560.50","418.78K","5.95%"
"2020년 03월 23일","1,567.60","1,505.00","1,569.30","1,484.60","362.07K","5.59%"
"2020년 03월 20일","1,484.60","1,471.60","1,519.40","1,457.50","269.97K","0.36%"
"2020년 03월 19일","1,479.30","1,487.20","1,502.80","1,460.10","325.29K","0.09%"
"2020년 03월 18일","1,477.90","1,527.60","1,547.00","1,473.30","435.19K","-3.14%"
"2020년 03월 17일","1,525.80","1,512.80","1,554.30","1,465.60","434.51K","2.64%"
"2020년 03월 16일","1,486.50","1,563.80","1,574.80","1,450.90","565.98K","-1.99%"
"2020년 03월 13일","1,516.70","1,582.70","1,597.90","1,504.00","551.05K","-4.63%"
"2020년 03월 12일","1,590.30","1,633.10","1,651.00","1,560.40","605.72K","-3.17%"
"2020년 03월 11일","1,642.30","1,649.30","1,671.80","1,632.40","404.35K","-1.08%"
"2020년 03월 10일","1,660.30","1,679.60","1,681.30","1,641.10","385.48K","-0.92%"
"2020년 03월 09일","1,675.70","1,692.60","1,704.30","1,658.00","504.16K","0.20%"
"2020년 03월 06일","1,672.40","1,673.10","1,692.80","1,642.40","659.63K","0.26%"
"2020년 03월 05일","1,668.00","1,638.20","1,675.50","1,635.60","363.00K","1.52%"
"2020년 03월 04일","1,643.00","1,640.10","1,654.30","1,632.60","313.34K","-0.09%"
"2020년 03월 03일","1,644.40","1,586.00","1,650.50","1,585.90","466.53K","3.11%"
"2020년 03월 02일","1,594.80","1,592.80","1,612.10","1,576.30","443.53K","1.79%"
"2020년 02월 28일","1,566.70","1,646.10","1,651.00","1,564.00","745.84K","-4.61%"
"2020년 02월 27일","1,642.50","1,643.00","1,662.50","1,636.70","573.29K","0.13%"
"2020년 02월 26일","1,640.40","1,636.40","1,652.40","1,624.40","1.99K","-0.40%"
"2020년 02월 25일","1,647.00","1,662.00","1,662.30","1,625.00","2.65K","-1.58%"
"2020년 02월 24일","1,673.50","1,651.00","1,687.30","1,651.00","2.81K","1.73%"
"2020년 02월 21일","1,645.10","1,620.40","1,648.10","1,618.60","2.32K","1.71%"
"2020년 02월 20일","1,617.40","1,610.90","1,622.80","1,603.80","2.79K","0.53%"
"2020년 02월 19일","1,608.80","1,601.80","1,612.90","1,600.00","2.21K","0.49%"
"2020년 02월 18일","1,601.00","1,581.20","1,605.30","1,579.20","2.68K","0.88%"
"2020년 02월 17일","1,587.05","1,586.15","1,588.45","1,581.85","-","0.05%"
"2020년 02월 16일","1,586.25","1,585.50","1,586.25","1,583.45","-","0.15%"
"2020년 02월 14일","1,583.80","1,577.50","1,585.30","1,573.60","0.69K","0.48%"
"2020년 02월 13일","1,576.30","1,566.80","1,578.80","1,566.60","1.30K","0.48%"
"2020년 02월 12일","1,568.80","1,567.90","1,570.30","1,561.60","0.83K","0.10%"
"2020년 02월 11일","1,567.20","1,573.00","1,574.50","1,562.60","0.86K","-0.60%"
"2020년 02월 10일","1,576.60","1,573.00","1,577.30","1,569.10","0.46K","0.38%"
"2020년 02월 07일","1,570.60","1,567.60","1,574.60","1,560.70","1.01K","0.22%"
"2020년 02월 06일","1,567.20","1,556.80","1,568.90","1,553.50","1.48K","0.46%"
"2020년 02월 05일","1,560.10","1,553.20","1,563.20","1,548.40","1.52K","0.48%"
"2020년 02월 04일","1,552.70","1,579.50","1,580.70","1,550.00","1.88K","-1.70%"
"2020년 02월 03일","1,579.50","1,594.60","1,595.10","1,570.50","1.60K","-0.34%"
