"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 30일","161.54","161.57","162.32","160.48","514.32K","-0.22%"
"2021년 04월 29일","161.89","160.82","161.99","159.40","575.26K","1.40%"
"2021년 04월 28일","159.65","161.22","161.22","158.77","635.54K","-0.72%"
"2021년 04월 27일","160.80","159.83","160.87","158.89","663.29K","0.48%"
"2021년 04월 26일","160.03","162.81","162.84","159.58","547.47K","-1.50%"
"2021년 04월 23일","162.47","160.21","163.27","159.56","680.03K","1.72%"
"2021년 04월 22일","159.72","160.39","162.34","159.28","614.28K","0.25%"
"2021년 04월 21일","159.32","160.43","161.99","157.09","1.10M","-0.23%"
"2021년 04월 20일","159.68","158.85","161.19","158.85","1.01M","0.66%"
"2021년 04월 19일","158.63","159.53","159.53","157.46","821.74K","-0.96%"
"2021년 04월 16일","160.17","160.92","161.51","159.63","1.01M","0.07%"
"2021년 04월 15일","160.05","157.73","161.13","157.73","628.53K","1.66%"
"2021년 04월 14일","157.44","156.95","158.57","156.84","552.40K","-0.31%"
"2021년 04월 13일","157.93","155.87","158.03","155.87","530.12K","1.18%"
"2021년 04월 12일","156.09","156.38","157.24","155.69","589.66K","-0.01%"
"2021년 04월 09일","156.10","154.21","156.36","153.81","588.58K","1.68%"
"2021년 04월 08일","153.52","151.89","153.72","151.55","737.67K","1.82%"
"2021년 04월 07일","150.78","152.44","152.69","150.06","680.29K","-1.23%"
"2021년 04월 06일","152.66","151.79","152.86","151.40","483.02K","0.37%"
"2021년 04월 05일","152.10","151.00","152.40","150.71","725.20K","0.83%"
"2021년 04월 01일","150.85","148.17","151.52","147.69","654.81K","2.30%"
"2021년 03월 31일","147.46","147.22","148.97","147.20","888.59K","0.01%"
"2021년 03월 30일","147.45","150.61","150.86","147.14","655.78K","-2.25%"
"2021년 03월 29일","150.84","149.83","151.46","149.15","509.22K","0.08%"
"2021년 03월 26일","150.72","146.67","150.80","146.33","620.43K","2.83%"
"2021년 03월 25일","146.57","147.52","147.52","145.52","678.67K","-0.52%"
"2021년 03월 24일","147.33","147.72","148.61","146.78","643.33K","-0.16%"
"2021년 03월 23일","147.57","145.85","148.95","145.85","1.30M","0.31%"
"2021년 03월 22일","147.12","145.74","148.19","144.76","1.14M","0.95%"
"2021년 03월 19일","145.74","145.00","146.83","143.79","2.19M","0.55%"
"2021년 03월 18일","144.94","144.06","145.89","142.87","1.82M","0.64%"
"2021년 03월 17일","144.02","144.96","145.77","142.35","1.68M","-1.00%"
"2021년 03월 16일","145.47","146.06","147.08","144.48","899.01K","-0.36%"
"2021년 03월 15일","145.99","144.29","146.06","143.10","530.86K","1.09%"
"2021년 03월 12일","144.42","144.56","145.09","143.07","463.75K","0.22%"
"2021년 03월 11일","144.10","144.90","144.90","142.75","710.95K","-0.31%"
"2021년 03월 10일","144.55","147.08","147.31","144.43","738.54K","-1.43%"
"2021년 03월 09일","146.65","144.86","149.51","144.86","1.11M","1.14%"
"2021년 03월 08일","144.99","144.89","147.52","143.86","1.74M","0.20%"
"2021년 03월 05일","144.70","139.05","145.11","138.50","1.20M","4.86%"
"2021년 03월 04일","138.00","137.63","140.15","135.57","1.17M","0.94%"
"2021년 03월 03일","136.71","140.10","140.95","136.55","619.68K","-2.79%"
"2021년 03월 02일","140.64","141.58","142.21","139.14","616.15K","-0.87%"
"2021년 03월 01일","141.87","139.68","142.85","139.40","694.84K","2.59%"
"2021년 02월 26일","138.29","140.45","140.98","137.80","939.47K","-1.45%"
"2021년 02월 25일","140.32","142.08","143.55","140.18","645.55K","-1.18%"
"2021년 02월 24일","141.99","139.81","142.22","138.42","608.92K","1.18%"
"2021년 02월 23일","140.34","141.28","141.28","138.93","990.10K","-0.90%"
"2021년 02월 22일","141.62","143.44","143.44","140.01","909.13K","-1.95%"
"2021년 02월 19일","144.43","145.19","145.83","144.30","669.15K","-0.31%"
"2021년 02월 18일","144.88","144.28","145.47","143.63","709.63K","0.13%"
"2021년 02월 17일","144.69","143.22","145.11","143.00","778.32K","0.49%"
"2021년 02월 16일","143.99","142.54","144.13","141.42","849.90K","1.41%"
"2021년 02월 12일","141.99","142.51","143.54","141.83","484.92K","-0.27%"
"2021년 02월 11일","142.37","143.04","143.24","141.60","463.95K","-0.07%"
"2021년 02월 10일","142.47","144.00","144.39","141.14","509.72K","-0.46%"
"2021년 02월 09일","143.13","142.64","143.97","142.01","420.60K","0.48%"
"2021년 02월 08일","142.45","143.01","143.46","141.98","493.39K","-0.10%"
"2021년 02월 05일","142.59","143.82","144.52","141.95","680.13K","-0.68%"
"2021년 02월 04일","143.57","143.95","145.31","142.57","824.15K","0.99%"
"2021년 02월 03일","142.16","142.28","143.10","141.02","879.36K","-0.32%"
"2021년 02월 02일","142.61","139.13","143.08","138.72","903.15K","2.89%"
"2021년 02월 01일","138.61","136.53","139.06","135.55","873.36K","2.47%"
