조회날짜,전일대비 등락
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,63.326149409313366
2020-01-22,69.44864770630747
2020-01-23,58.865441654050116
2020-01-28,42.75377321187018
2020-01-29,44.51241609489144
2020-01-30,37.55468518786001
2020-01-31,34.35346627243159
2020-02-03,34.931517293562436
2020-02-04,43.735119344569924
2020-02-05,46.03827369815841
2020-02-06,57.42791230210986
2020-02-07,53.8790723737209
2020-02-10,51.719431156569605
2020-02-11,55.22276458048394
2020-02-12,58.048815703758144
2020-02-13,56.888822040298095
2020-02-14,59.06194645543547
2020-02-17,58.63183486023177
2020-02-18,50.88925178309566
2020-02-19,51.66869864300986
2020-02-20,49.294264940455655
2020-02-21,43.34343798103243
2020-02-24,32.41575356990565
2020-02-25,37.23050419060608
2020-02-26,33.77546427141466
2020-02-27,31.560077196219297
2020-02-28,25.939072163084944
2020-03-02,29.80700684388485
2020-03-03,31.655073419948394
2020-03-04,40.14114932687257
2020-03-05,43.180246926947405
2020-03-06,38.393960174654815
2020-03-09,30.812004522045456
2020-03-10,32.64075157153056
2020-03-11,28.338608726271474
2020-03-12,24.53031413877079
2020-03-13,22.149101836967745
2020-03-16,19.375694728195853
2020-03-17,17.935437616040034
2020-03-18,15.04877276412195
2020-03-19,12.35160109644498
2020-03-20,26.196225333979342
2020-03-23,22.978667990621858
2020-03-24,35.647161654725835
2020-03-25,42.51558280873543
2020-03-26,40.83536702085515
2020-03-27,43.74981149285729
2020-03-30,43.17718345151559
2020-03-31,45.4825393568908
2020-04-01,40.69837460694173
2020-04-02,44.61278459776371
2020-04-03,44.344505800812726
2020-04-06,49.471091505402235
2020-04-07,51.44388518404192
2020-04-08,49.47184099986905
2020-04-09,51.606489789950736
2020-04-10,52.76368944855992
2020-04-13,50.12083460483418
2020-04-14,52.673685913921034
2020-04-16,52.673685913921034
2020-04-17,57.1940444679152
2020-04-20,54.90544111534064
2020-04-21,52.81311509948948
2020-04-22,54.26206389330689
2020-04-23,55.91855667201007
2020-04-24,52.75014196523229
2020-04-27,56.25170934724145
2020-04-28,57.29772456063881
2020-04-29,58.470554256778016
2020-05-04,51.44426077285977
2020-05-06,54.901423993796904
2020-05-07,54.3635628069513
2020-05-08,56.063256170327065
2020-05-11,54.23404202573749
2020-05-12,52.441190858857844
2020-05-13,55.02102617720749
2020-05-14,52.1828505797133
2020-05-15,52.76594379394256
2020-05-18,54.412283750197105
2020-05-19,60.3634823416014
2020-05-20,60.86366514453211
2020-05-21,61.85718662349974
2020-05-22,55.93936962039163
2020-05-25,59.022717684865974
2020-05-26,63.08836803001783
2020-05-27,63.21249596468228
2020-05-28,63.90957447787563
2020-05-29,63.10473728578598
