"조회날짜","코드1","종목 코드","종목 명칭","종가","전일대비 등락","전일대비 등락률","시가","고가","저가","체결수량의 누적합","체결가격 * 체결수량 누적합","종가*상장좌수"
20200529,005930,KR7005930003,삼성전자,50700,300,.6,50000,50700,49700,27596961,1390445842147,302667975285000
20200528,005930,KR7005930003,삼성전자,50400,500,1,51100,51200,49900,31309318,1585346422778,300877040520000
20200527,005930,KR7005930003,삼성전자,49900,650,1.32,48950,50000,48800,19548479,969951903266,297892149245000
20200526,005930,KR7005930003,삼성전자,49250,400,.82,48700,49450,48600,15127490,742843644150,294011790587500
20200525,005930,KR7005930003,삼성전자,48850,100,.21,48750,48900,48450,14337913,698563353200,291623877567500
20200522,005930,KR7005930003,삼성전자,48750,-1200,-2.4,49600,49800,48600,19706284,965729655667,291026899312500
20200521,005930,KR7005930003,삼성전자,49950,-50,-.1,50300,50400,49850,14949266,748343432800,298190638372500
20200520,005930,KR7005930003,삼성전자,50000,-300,-.6,50000,50200,49800,14896899,744469755655,298489127500000
20200519,005930,KR7005930003,삼성전자,50300,1500,3.07,50100,50500,49700,25168295,1261317730005,300280062265000
20200518,005930,KR7005930003,삼성전자,48800,950,1.99,47950,49100,47600,20481981,995409039450,291325388440000
20200515,005930,KR7005930003,삼성전자,47850,-150,-.31,48400,48450,47700,18463118,887550446744,285654095017500
20200514,005930,KR7005930003,삼성전자,48000,-550,-1.13,47750,48100,47650,19305974,924043501923,286549562400000
20200513,005930,KR7005930003,삼성전자,48550,650,1.36,47250,48550,47200,20223277,966405911050,289832942802500
20200512,005930,KR7005930003,삼성전자,47900,-500,-1.03,48400,48500,47550,23433590,1122420047086,285952584145000
20200511,005930,KR7005930003,삼성전자,48400,-400,-.82,48900,49250,48300,16357743,797523862042,288937475420000
20200508,005930,KR7005930003,삼성전자,48800,0,0,49100,49350,48800,15319700,752271196120,291325388440000
20200507,005930,KR7005930003,삼성전자,48800,-400,-.81,49200,49300,48700,13884411,679668516460,291325388440000
20200506,005930,KR7005930003,삼성전자,49200,700,1.44,49000,49200,48500,18070225,882453648920,293713301460000
20200504,005930,KR7005930003,삼성전자,48500,-1500,-3,48900,49100,48500,26083749,1270816552521,289534453675000
20200429,005930,KR7005930003,삼성전자,50000,-100,-.2,49900,50500,49600,15604533,780706354100,298489127500000
20200428,005930,KR7005930003,삼성전자,50100,250,.5,49850,50100,49300,16095399,800260923102,299086105755000
20200427,005930,KR7005930003,삼성전자,49850,500,1.01,49350,50000,49100,14049471,697230549360,297593660117500
20200424,005930,KR7005930003,삼성전자,49350,-500,-1,49650,49750,49000,15618347,771212431650,294608768842500
20200423,005930,KR7005930003,삼성전자,49850,0,0,50200,50300,49500,18754442,936174022950,297593660117500
20200422,005930,KR7005930003,삼성전자,49850,600,1.22,48700,50000,48350,18613864,912223008750,297593660117500
20200421,005930,KR7005930003,삼성전자,49250,-850,-1.7,49400,49700,48700,27407543,1347414680188,294011790587500
20200420,005930,KR7005930003,삼성전자,50100,-1300,-2.53,51400,51400,50000,21866354,1106551694407,299086105755000
20200417,005930,KR7005930003,삼성전자,51400,2400,4.9,50800,52000,50300,32041675,1641068274800,306846823070000
20200416,005930,KR7005930003,삼성전자,49000,0,0,49350,49350,48550,23349760,1143759563262,292519344950000
20200414,005930,KR7005930003,삼성전자,49000,700,1.45,48800,49200,48300,14206216,694513122356,292519344950000
20200413,005930,KR7005930003,삼성전자,48300,-950,-1.93,48650,48900,48300,14431800,700511423000,288340497165000
20200410,005930,KR7005930003,삼성전자,49250,150,.31,48950,49250,48650,17839111,872177014700,294011790587500
20200409,005930,KR7005930003,삼성전자,49100,500,1.03,49750,49800,48700,22628058,1111936132700,293116323205000
20200408,005930,KR7005930003,삼성전자,48600,-1000,-2.02,49600,49750,48600,25010314,1230375023250,290131431930000
20200407,005930,KR7005930003,삼성전자,49600,900,1.85,49650,50200,49000,31524034,1561332868425,296101214480000
20200406,005930,KR7005930003,삼성전자,48700,1700,3.62,47500,48800,47250,23395726,1123253804353,290728410185000
20200403,005930,KR7005930003,삼성전자,47000,200,.43,47400,47600,46550,22784682,1074179776900,280579779850000
20200402,005930,KR7005930003,삼성전자,46800,1000,2.18,46200,46850,45350,21621076,997831026144,279385823340000
20200401,005930,KR7005930003,삼성전자,45800,-1950,-4.08,47450,47900,45800,27259532,1282482561850,273416040790000
20200331,005930,KR7005930003,삼성전자,47750,-100,-.21,48000,48500,47150,30654261,1467323482646,285057116762500
20200330,005930,KR7005930003,삼성전자,47850,-450,-.93,47050,48350,46550,26797395,1268118958800,285654095017500
20200327,005930,KR7005930003,삼성전자,48300,500,1.05,49600,49700,46850,39896178,1931405584780,288340497165000
20200326,005930,KR7005930003,삼성전자,47800,-850,-1.75,49000,49300,47700,42185129,2044314125302,285355605890000
20200325,005930,KR7005930003,삼성전자,48650,1700,3.62,48950,49600,47150,52735922,2552010175155,290429921057500
20200324,005930,KR7005930003,삼성전자,46950,4450,10.47,43850,46950,43050,49801908,2254620196840,280281290722500
20200323,005930,KR7005930003,삼성전자,42500,-2900,-6.39,42600,43550,42400,41701626,1789671838540,253715758375000
20200320,005930,KR7005930003,삼성전자,45400,2450,5.7,44150,45500,43550,49730008,2221272156100,271028127770000
20200319,005930,KR7005930003,삼성전자,42950,-2650,-5.81,46400,46650,42300,56925513,2502939391663,256402160522500
20200318,005930,KR7005930003,삼성전자,45600,-1700,-3.59,47750,48350,45600,40152623,1896703404150,272222084280000
20200317,005930,KR7005930003,삼성전자,47300,-1600,-3.27,46900,49650,46700,51218151,2453541661000,282370714615000
20200316,005930,KR7005930003,삼성전자,48900,-1050,-2.1,50100,50900,48800,33339821,1657128732300,291922366695000
20200313,005930,KR7005930003,삼성전자,49950,-850,-1.67,47450,51600,46850,59462933,2902883152100,298190638372500
20200312,005930,KR7005930003,삼성전자,50800,-1300,-2.5,51000,51900,49300,48149999,2436965909150,303264953540000
20200311,005930,KR7005930003,삼성전자,52100,-2500,-4.58,54300,54400,52000,45707281,2425785996150,311025670855000
20200310,005930,KR7005930003,삼성전자,54600,400,.74,53800,54900,53700,32106554,1744478326491,325950127230000
20200309,005930,KR7005930003,삼성전자,54200,-2300,-4.07,54700,55000,53600,30261485,1642720550800,323562214210000
20200306,005930,KR7005930003,삼성전자,56500,-1300,-2.25,56500,57200,56200,18716656,1058857640100,337292714075000
20200305,005930,KR7005930003,삼성전자,57800,400,.7,57600,58000,56700,21698990,1245378832100,345053431390000
20200304,005930,KR7005930003,삼성전자,57400,2000,3.61,54800,57600,54600,24765728,1405494544044,342665518370000
20200303,005930,KR7005930003,삼성전자,55400,400,.73,56700,56900,55100,30330295,1702259497750,330725953270000
20200302,005930,KR7005930003,삼성전자,55000,800,1.48,54300,55500,53600,30403412,1665341867719,328338040250000
20200228,005930,KR7005930003,삼성전자,54200,-1700,-3.04,55000,55500,54200,30054227,1642134682946,323562214210000
20200227,005930,KR7005930003,삼성전자,55900,-600,-1.06,56300,56900,55500,23209541,1301501421886,333710844545000
20200226,005930,KR7005930003,삼성전자,56500,-1400,-2.42,56000,57000,56000,25483102,1440950384200,337292714075000
20200225,005930,KR7005930003,삼성전자,57900,1100,1.94,56200,58000,56200,23885408,1368868270940,345650409645000
20200224,005930,KR7005930003,삼성전자,56800,-2400,-4.05,57400,58100,56800,25627537,1470408487400,339083648840000
20200221,005930,KR7005930003,삼성전자,59200,-800,-1.33,58800,59800,58500,13777393,817158847200,353411126960000
20200220,005930,KR7005930003,삼성전자,60000,-200,-.33,60700,61300,59600,14591924,880828906700,358186953000000
20200219,005930,KR7005930003,삼성전자,60200,400,.67,59800,60400,59400,12951496,775714875900,359380909510000
20200218,005930,KR7005930003,삼성전자,59800,-1700,-2.76,60800,60900,59700,16674266,1004070367400,356992996490000
