"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 01일","19.78","19.04","20.48","18.07","403.20K","4.99%"
"2020년 04월 30일","18.84","15.64","19.44","15.45","545.34K","25.10%"
"2020년 04월 29일","15.06","13.35","16.78","12.67","554.13K","22.04%"
"2020년 04월 28일","12.34","12.96","13.69","10.07","897.09K","-3.44%"
"2020년 04월 27일","12.78","16.84","16.98","11.88","623.20K","-24.56%"
"2020년 04월 24일","16.94","16.78","17.97","15.64","600.22K","2.67%"
"2020년 04월 23일","16.50","14.20","18.26","13.35","833.58K","19.74%"
"2020년 04월 22일","13.78","13.12","16.18","10.26","1.24M","37.66%"
"2020년 04월 21일","10.01","-14.00","13.86","-16.74","18.44K","-126.60%"
"2020년 04월 20일","-37.63","17.73","17.85","-40.32","247.95K","-305.97%"
"2020년 04월 17일","18.27","20.00","20.22","17.31","240.63K","-8.05%"
"2020년 04월 16일","19.87","20.15","20.53","19.42","350.94K","0.00%"
"2020년 04월 15일","19.87","20.72","20.89","19.20","544.80K","-1.19%"
"2020년 04월 14일","20.11","22.36","23.08","19.95","785.48K","-10.26%"
"2020년 04월 13일","22.41","24.60","24.74","22.03","775.12K","-1.54%"
"2020년 04월 09일","22.76","26.28","28.36","22.57","1.12M","-9.29%"
"2020년 04월 08일","25.09","24.30","26.45","23.74","823.55K","6.18%"
"2020년 04월 07일","23.63","26.34","27.24","23.54","797.71K","-9.39%"
"2020년 04월 06일","26.08","26.09","28.24","25.28","752.71K","-7.97%"
"2020년 04월 03일","28.34","24.81","29.13","23.52","1.01M","11.93%"
"2020년 04월 02일","25.32","21.22","27.39","20.76","1.10M","24.67%"
"2020년 04월 01일","20.31","20.10","21.55","19.90","703.29K","-0.83%"
"2020년 03월 31일","20.48","20.23","21.89","20.01","660.08K","1.94%"
"2020년 03월 30일","20.09","20.93","20.93","19.27","758.71K","-6.60%"
"2020년 03월 27일","21.51","23.29","23.44","20.88","603.12K","-4.82%"
"2020년 03월 26일","22.60","24.25","24.65","22.38","633.88K","-7.72%"
"2020년 03월 25일","24.49","24.37","25.24","22.91","618.73K","2.00%"
"2020년 03월 24일","24.01","23.87","25.16","23.09","659.70K","2.78%"
"2020년 03월 23일","23.36","22.52","24.07","20.80","852.95K","4.15%"
"2020년 03월 20일","22.43","24.73","27.89","19.46","29.76K","-11.06%"
"2020년 03월 19일","25.22","22.30","27.71","21.36","136.72K","23.81%"
"2020년 03월 18일","20.37","26.94","27.22","20.06","309.48K","-24.42%"
"2020년 03월 17일","26.95","28.69","30.30","26.63","545.82K","-6.10%"
"2020년 03월 16일","28.70","33.75","33.75","28.10","698.83K","-9.55%"
"2020년 03월 13일","31.73","30.77","33.87","30.33","743.13K","0.73%"
"2020년 03월 12일","31.50","33.07","33.63","30.02","1.03M","-4.49%"
"2020년 03월 11일","32.98","34.62","36.35","32.56","874.65K","-4.02%"
"2020년 03월 10일","34.36","30.37","35.02","30.20","1.06M","10.38%"
"2020년 03월 09일","31.13","32.87","34.88","27.34","1.77M","-24.59%"
"2020년 03월 06일","41.28","46.09","46.38","41.05","1.28M","-10.07%"
"2020년 03월 05일","45.90","47.13","47.57","45.65","704.59K","-1.88%"
"2020년 03월 04일","46.78","46.94","48.41","46.65","745.86K","-0.85%"
"2020년 03월 03일","47.18","47.72","48.66","46.47","1.01M","0.92%"
"2020년 03월 02일","46.75","43.70","47.56","43.32","949.47K","4.45%"
"2020년 02월 28일","44.76","46.49","47.03","43.85","1.10M","-4.95%"
"2020년 02월 27일","47.09","48.63","48.78","45.88","1.01M","-3.37%"
"2020년 02월 26일","48.73","50.08","50.44","48.30","884.48K","-2.34%"
"2020년 02월 25일","49.90","51.37","52.02","49.69","764.99K","-2.97%"
"2020년 02월 24일","51.43","52.60","52.64","50.45","765.52K","-3.65%"
"2020년 02월 21일","53.38","53.74","53.86","52.55","707.56K","-0.74%"
"2020년 02월 20일","53.78","53.50","54.50","53.22","30.67K","0.92%"
"2020년 02월 19일","53.29","52.12","53.66","51.93","113.68K","2.38%"
"2020년 02월 18일","52.05","52.23","52.41","50.88","221.77K","-0.29%"
"2020년 02월 17일","52.20","52.34","52.59","52.05","-","-0.31%"
"2020년 02월 16일","52.36","52.45","52.63","52.34","-","0.60%"
"2020년 02월 14일","52.05","51.51","52.34","51.32","607.34K","1.23%"
"2020년 02월 13일","51.42","51.72","51.96","50.60","745.40K","0.49%"
"2020년 02월 12일","51.17","49.96","51.73","49.95","795.26K","2.46%"
"2020년 02월 11일","49.94","49.61","50.69","49.58","725.73K","0.75%"
"2020년 02월 10일","49.57","50.12","50.49","49.42","715.89K","-1.49%"
"2020년 02월 07일","50.32","51.11","51.48","50.09","768.35K","-1.24%"
"2020년 02월 06일","50.95","51.17","52.20","50.24","750.66K","0.39%"
"2020년 02월 05일","50.75","49.51","51.88","49.47","887.95K","2.30%"
"2020년 02월 04일","49.61","49.94","51.55","49.31","859.36K","-1.00%"
"2020년 02월 03일","50.11","51.01","51.97","49.80","876.04K","-2.81%"
